row_id,question,gold_answer,gold_kg,llm_answer,llm_kg,context,context_kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Thin-section CT of the lung: does electrocardiographic triggering influence diagnosis?,"Given the lack of improvement in diagnostic accuracy and the need for additional resources, ECG-triggered thin-section CT of the lung is not recommended for routine clinical practice.","[['ECG-triggered thin-section CT of the lung', 'not recommended', 'routine clinical practice'], ['ECG-triggered thin-section CT of the lung', 'lack of improvement', 'diagnostic accuracy']]",No significant differences in diagnostic outcome were determined between triggered and nontriggered techniques.,"[['ECG-triggered thin-section CT of the lung', 'no significant differences', 'diagnostic outcome'], ['ECG-triggered thin-section CT of the lung', 'technique', 'triggered techniques'], ['ECG-triggered thin-section CT of the lung', 'technique', 'nontriggered techniques']]","To determine the impact of prospective electrocardiographic (ECG) triggering on image quality and diagnostic outcome of thin-section computed tomography (CT) of the lung. Forty-five consecutive patients referred for thin-section CT of the lung were examined with prospectively ECG-triggered and nontriggered thin-section CT of the lung with a multi-detector row helical CT scanner. Subjective image quality criteria (image noise, motion artifacts, and diagnostic accessibility) were rated by three radiologists in consensus for the upper lobe, middle lobe and/or lingula, and lower lobe. Pathologic changes were assessed for the various lobes, and a diagnosis was assigned. The diagnoses were compared by two radiologists in consensus to determine the effects of CT technique on diagnostic outcome. Quantitative measurements were performed, including determination of image noise and signal-to-noise ratios in different anatomic regions. The Wilcoxon signed rank test and paired sign test (both with Bonferroni correction) were used for statistical analysis. Subjective assessment showed significant differences in motion artifact reduction in the middle lobe, lingula, and left lower lobe. The diagnostic assessibility of triggered CT was rated significantly higher only for the left lower lobe compared with nontriggered data acquisition. No differences in diagnostic outcome were determined between triggered and nontriggered techniques. Mean image noise in tracheal air was 68.2 +/- 17 (SD) for triggered CT versus 37.4 +/- 9 for nontriggered CT (P<.05). Mean signal-to-noise ratio in the upper versus lower lobes was 22.5 +/- 8 versus 25.4 +/- 10 for triggered and 35.6 +/- 9 versus 39.2 +/- 10 for nontriggered techniques (P<.05).","[['ECG-triggered thin-section CT of the lung', 'evaluated', 'image quality'], ['ECG-triggered thin-section CT of the lung', 'evaluated', 'diagnostic outcome'], ['ECG-triggered thin-section CT of the lung', 'used for', 'determining impact'], ['multi-detector row helical CT scanner', 'used for', 'examining patients'], ['radiologists', 'used for', 'rating image quality'], ['radiologists', 'used for', 'determining diagnostic outcome'], ['patients', 'referred for', 'thin-section CT of the lung'], ['pathologic changes', 'assessed for', 'various lobes'], ['Wilcoxon signed rank test', 'used for', 'statistical analysis'], ['paired sign test', 'used for', 'statistical analysis']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Tanning facility use: are we exceeding Food and Drug Administration limits?,Interventions for tanning bed operators and patrons are needed to increase compliance with federally recommended exposure limits.,"[['FDA', 'recommends', 'exposure_limits'], ['exposure_limits', 'for', 'tanning_bed_use'], ['tanning_patrons', 'may_not_follow', 'exposure_limits'], ['tanning_patrons', 'may_be_overexposed', 'damaging_UV_radiation']]","Yes, the majority of tanning patrons in North Carolina exceed the FDA-recommended exposure limits for tanning bed use.","[['Majority_of_patrons_in_North_Carolina', 'exceed', 'FDA_recommended_exposure_limits'], ['Patrons', 'selected_for_survey', 'n'], ['Tanning_facilities', 'inspected', 'North_Carolina']]","The US Food and Drug Administration (FDA) recommends exposure limits for tanning bed use. Tanning patrons may not be following these recommendations and may be overexposed to damaging ultraviolet radiation (UV). This study was conducted to assess tanning patrons' adherence to FDA-recommended exposure limits and to measure the amount of UVA and UVB radiation emitted by tanning beds. A community-based survey was administered during routine state inspections of North Carolina tanning facilities (n = 50). At each facility, patron records were randomly selected (n = 483) for a survey of exposure records, and UVA and UVB outputs were measured for each tanning bed. The recommended limits were exceeded by 95% of patrons, and 33% of patrons began tanning at the maximum doses recommended for maintenance tanning. Average tanning bed output was 192.1 W/m(2) UVA and 0.35 W/m(2) erythemally weighted UVB.","[['FDA', 'recommends_exposure_limits_for', 'tanning_bed_use'], ['Patrons', 'selected_for_survey', 'n'], ['Tanning_facilities', 'inspected', 'North_Carolina'], ['Patrons', 'exceeded_recommended_limits', '95%'], ['Patrons', 'began_tanning_at_maximum_doses', '33%'], ['Average_tanning_bed_output_UVA', 'measured', '192.1_W/m(2)'], ['Average_tanning_bed_output_UVB', 'measured', '0.35_W/m(2)'], ['UVA_and_UVB_outputs', 'measured_for', 'each_tanning_bed']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Are there racial and sex differences in the use of oral isotretinoin for acne management in the United States?,"Patients who are black receive less oral isotretinoin than those who are white, and the expense of isotretinoin appears to be one factor in this difference. Women are less likely than men to receive isotretinoin at acne visits. Expense does not appear to be a factor in this difference. Dermatologists have more experience than nondermatologists managing acne, prescribing isotretinoin, and counseling women treated with isotretinoin concerning pregnancy prevention. Pregnancy prevention is an essential component of isotretinoin use in women that must not be ignored.","[['Patients who are black', 'receive less', 'oral isotretinoin'], ['reason', 'is', 'factor'], ['Patients who are white', 'receive more', 'oral isotretinoin'], ['managing_acne', 'prescribing_isotretinoin', 'and_counseling_women_treated_with_isotretinoin_concerning_pregnancy_prevention']]","Yes, there are racial and sex differences in the use of oral isotretinoin for acne management in the United States. Per capita visit rates for acne among whites was 2.3 times that of blacks, and whites were 1.8 times more likely to receive isotretinoin at acne visits. Per capita, women had 1.4 times as many visits for acne as men, but men were 1.7 times more likely to receive isotretinoin at an acne visit.",[],"Treatment of various diseases has been noted to vary by patient demographics. There is reason to suspect that there may be sex and racial differences in the treatment of severe acne. We sought to determine if treatment of severe acne with oral isotretinoin varied with patient sex, race, or both. We analyzed the demographics of patients with acne and patients using oral isotretinoin, minocycline, and tetracycline recorded in the 1990 to 1997 National Ambulatory Medical Care Survey. There were 35 million visits to physicians for the treatment of acne between 1990 and 1997, and isotretinoin was prescribed at 5.8 million (17%) of these visits. Per capita visit rates for acne among whites was 2.3 times that of blacks, and whites were 1.8 times more likely to receive isotretinoin at acne visits. Per capita, women had 1.4 times as many visits for acne as men, but men were 1.7 times more likely than women to receive isotretinoin at an acne visit. Dermatologists managed 83% of all isotretinoin visits. Dermatologists accounted for 100% of isotretinoin visits for which pregnancy prevention education and counseling was reported.",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Are breastfeeding and complementary feeding of children of adolescent mothers different from those of adult mothers?,"Duration and pattern of breastfeeding were similar between children of adolescent mothers and of adult mothers. The complementary nutrition was similar, except for a lower intake of meat and a higher intake of eggs among the children of adolescent mothers.","[['Children of adolescent mothers', 'have_similar_duration_and_pattern', 'Breastfeeding'], ['Breastfeeding', 'is_similar_to', 'Complementary_nutrition'], ['Complementary_nutrition', 'of_children_of_adolescent_mothers', 'is_different_from'], ['is_different_from', 'Complementary_nutrition_of_children_of_adolescent_mothers', 'Complementary_nutrition_of_children_of_adult_mothers'], ['Complementary_nutrition_of_children_of_adolescent_mothers', 'has_lower_intake_of', 'Meat'], ['Complementary_nutrition_of_children_of_adolescent_mothers', 'has_higher_intake_of', 'Eggs'], ['Children_born_from_adolescent_mothers', 'selected_from', 'Files_of_CAISM_UNICAMP'], ['Children_born_from_adult_mothers', 'selected_from', 'Files_of_CAISM_UNICAMP']]","Yes, breastfeeding and complementary feeding of children of adolescent mothers are different from those of adult mothers. The results showed that a higher proportion of children of adolescent mothers continued breastfeeding after one year compared to children of adult mothers. However, meat and egg intake by children of adolescent mothers was lower than that of children of adult mothers.","[['Study', 'consists_of', 'Dual_cohort'], ['Dual_cohort', 'performed_on', 'Children_of_adolescent_mothers_and_Children_of_adult_mothers']]","To study breastfeeding during the first year of life and the kind of complementary food provided at one year of life to children of adolescent mothers. To compare these data with breastfeeding and complementary food received by children of adult mothers. A dual cohort was performed. Children were selected from the files of CAISM/UNICAMP and assessed when they were one year old. This study consisted of 122 children born from adolescent mothers and 123 children born from adult mothers--full-term births, birthweight was 2,500 g or higher. When the children were one year old, the mothers were interviewed at home or at CIPED/UNICAMP. The results were compared using the chi-square test and the Fisher's test; alpha=5%; the Kaplan-Meier method was used to analyze the duration of breastfeeding and the Wilcoxon test (Breslow) to compare the exclusive, predominant, full and total breastfeeding curves. 94.3% of children of adolescent mothers and 95.9% of children of adult mothers left the maternity hospital being breastfed (p=0.544). The median exclusive breastfeeding duration for both groups was 90 days. After completing one year, 35.3% and 28.5% of children of adolescent and adult mothers, respectively, continued breastfeeding (p=0.254): only breastfeeding 11.5% vs. 8.9% and mixed feeding 23.8% vs. 19.5% (p=0.519). Meat intake by children of adolescent mothers was lower than that of children of adult mothers (13.9% vs. 26.0%; Fisher's test: p=0.031). With regard to egg intake, 11.5% vs. 19.5% of children of adolescent mothers and adult mothers did not eat egg but the results suggested that the egg intake of children of adolescent mothers was higher (p=0.082).",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Does violence in the emotional relationships make STD/AIDS prevention more difficult?,"The study showed that there is an important association between violence in the emotional relationships and the inconsistent use of condoms in the group studied. Therefore, preventive measures should be taken regarding youth behavior that involves the risk of STD/AIDS infection, associated with campaigns against violence.","[['study', 'showed', 'important association'], ['important association', 'between', 'violence in emotional relationships'], ['violence in emotional relationships', 'and', 'inconsistent use of condoms'], ['study', 'dealt with', 'youth behavior'], ['youth behavior', 'involves', 'risk of STD/AIDS infection']]","Yes, violence in the emotional relationships between adolescents and young people makes STD/AIDS prevention more difficult.","[['violence in emotional relationships', 'makes', 'STD/AIDS prevention more difficult']]","To identify violent situations in the daily life of adolescents and young people of low-income communities; to establish a relation between the use of drugs and STD/AIDS risk behavior; and to verify if violence in the emotional relationships between adolescents and young people make the STD/AIDS prevention more difficult. Epidemiological study with adolescents and young people of two neighborhoods in the city of Rio de Janeiro, based on the results obtained from a structured questionnaire that dealt with subjects' profile, information about the family, use of drugs, daily violent situations, sexual experience, among others. For the present article, only the variables that dealt with aggressiveness, use of drugs, sexual risk behavior and violence in the emotional relationships were analyzed. The association between the variable ""I used a condom the last time I had sex"" and the questions that indicated violent or non-violent attitudes in emotional relationships received special attention. A total of 1,041 young people aged 14-22 years old took part in the study, 53.6% of them were female. A statistically significant relation was observed between not using condoms (p<0.05) and the categorical variables revealing aggressiveness in emotional relations.","[['study', 'involved', 'adolescents and young people'], ['study', 'based on', 'structured questionnaire'], ['structured questionnaire', 'dealt with', ""subjects' profile""], [""subjects' profile"", 'included', 'information about family'], ['information about family', 'used for', 'establishing relation between use of drugs and STD/AIDS risk behavior'], ['study', 'conducted in', 'city of Rio de Janeiro'], ['study', 'analyzed', 'variables that dealt with aggressiveness, use of drugs, sexual risk behavior and violence in emotional relationships']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Is low antiepileptic drug dose effective in long-term seizure-free patients?,"Leaving seizure free patients on low AED dose did not reduce the risk for seizure recurrence. That is, once the decision of AED withdrawal has been established, it should be complete.","[['Leaving seizure-free patients', 'did not reduce', 'risk for seizure recurrence'], ['risk for seizure recurrence', 'once decision for AED withdrawal', 'is established']]",Low antiepileptic drug dose is not effective in long-term seizure-free patients. The seizure recurrence frequency after two years follow-up was similar between the complete and partial AED withdrawal groups.,"[['Low antiepileptic drug dose', 'not effective', 'long-term seizure-free patients'], ['seizure recurrence frequency', 'after two years follow-up', 'was similar'], ['complete AED withdrawal', 'and partial AED withdrawal', 'groups']]","To investigate the value of leaving seizure-free patients on low-dose medication. This was an exploratory prospective randomized study conducted at our University Hospital. We evaluated the frequency of seizure recurrence and its risk factors following complete or partial antiepileptic drug (AED) withdrawal in seizure free patients for at least two years with focal, secondarily generalized and undetermined generalized epilepsies. For this reason, patients were divided into two groups: Group 1 (complete AED withdrawal), and Group 2 (partial AED withdrawal). Partial AED withdrawal was established as a reduction of 50% of the initial dose. Medication was tapered off slowly on both groups. Follow-up period was 24 months. Ninety-four patients were followed up: 45 were assigned to complete (Group 1) AED withdrawal and 49 to partial (Group 2) AED withdrawal. Seizure recurrence frequency after two years follow-up were 34.04% in group 1 and 32.69% in Group 2. Survival analysis showed that the probability of remaining seizure free at 6, 12, 18 and 24 months after randomization did not differ between the two groups (p = 0.8). Group 1: 0.89, 0.80, 0.71 and 0.69; group 2: 0.86, 0.82, 0.75 and 0.71. The analysis of risk factors for seizure recurrence showed that more than 10 seizures prior to seizure control was a significant predictive factor for recurrence after AED withdrawal (hazard ratio = 2.73).","[['Study', 'conducted', 'at University Hospital'], ['University Hospital', 'location', 'study'], ['exploratory prospective randomized study', 'evaluated', 'value of leaving seizure-free patients'], ['patients', 'followed up', 'for at least two years'], ['patients', 'had', 'focal, secondarily generalized and undetermined generalized epilepsies'], ['patients', 'divided into', 'two groups'], ['partial AED withdrawal', 'established', 'as reduction of 50% of initial dose'], ['medication', 'tapered off', 'slowly'], ['seizure recurrence frequency', 'after two years follow-up', '34.04%'], ['seizure recurrence frequency', 'after two years follow-up', '32.69%'], ['survival analysis', 'showed', 'probability of remaining seizure free'], ['probability of remaining seizure free', 'at 6, 12, 18 and 24 months', 'after randomization'], ['analysis of risk factors for seizure recurrence', 'showed', 'more than 10 seizures prior to seizure control'], ['more than 10 seizures prior to seizure control', 'significant predictive factor', 'for recurrence after AED withdrawal'], ['hazard ratio', 'for recurrence after AED withdrawal', '2.73']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Parental perception of waiting time and its influence on parental satisfaction in an urban pediatric emergency department: are parents accurate in determining waiting time?,Parents tend to overestimate waiting time. Both perceived and actual waiting times that exceed 2 hours were associated with parental dissatisfaction. ED administrators may need to keep this in mind when arranging ED staffing patterns to match peak patient hours to achieve optimal parental satisfaction.,"[['Parents', 'tend_to', 'overestimate_waiting_time'], ['Parents', 'associated_with', 'parental_dissatisfaction'], ['Perceived_waiting_time', 'exceeds', '2_hours'], ['Actual_waiting_time', 'exceeds', '2_hours'], ['Parental_dissatisfaction', 'caused_by', 'parental_dissatisfaction']]","The majority of parents overestimated waiting time in the ED, and parents with perceived or actual waiting times that exceeded 2 hours were significantly more likely to be dissatisfied.","[['Parents', 'associated_with', 'majority_of_parents'], ['Parents', 'have', 'perception_or_actual_waiting_time'], ['Parental_satisfaction', 'affected_by', 'parental_dissatisfaction']]","The objective of this study was to determine whether parental perception of waiting time in an urban pediatric emergency department (ED) is accurate and whether the actual waiting times or their perception of waiting times impact on parental satisfaction. A prospective convenience sample study in which the on-duty emergency physicians randomly administered a questionnaire at the time of the ED visit was used. During a 3-week period from December 15, 1999, through January 7, 2000, 500 parents or legal guardians of children who visited our ED were questioned about their perceived waiting time, and the responses were compared with the actual waiting time. The parents or guardians were also asked if they were satisfied with the waiting time. The majority (84%) of parents overestimated waiting time in the ED (median difference, 26 min; interquartile range, 9-50 min). Parents with perceived or actual waiting times that exceeded 2 hours were significantly more likely to be dissatisfied than parents with actual or perceived waiting times that were 1 hour or less (P<0.001). Satisfaction was not related to the age (P = 0.35), sex (P = 0.30), race/ethnicity (P = 0.90), or mode of arrival (P = 0.28).","[['Study_objective', 'was_to_determine', 'accuracy_of_parental_perception_of_waiting_time'], ['Study_design', 'used', 'prospective_convenience_sample_study'], ['3_week_period', 'used_for_study', 'from_December_15_1999_through_January_7_2000'], ['Parents_or_guardians', 'responses_compared_with', 'actual_waiting_time']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Do poison center guidelines adversely affect patient outcomes as triage referral values increase?,Referral values as high as 201 mg/kg for APAP and 61 mg/kg for Fe do not appear to adversely affect patient outcomes.,"[['APAP', 'has_referral_value', '201 mg/kg'], ['Fe', 'has_referral_value', '61 mg/kg'], ['APAP', 'does_not_adversely_affect', 'patient_outcomes'], ['Fe', 'does_not_adversely_affect', 'patient_outcomes']]","No, there were no statistically significant differences in the distribution of symptomatic patients within referral value strata for APAP or for Fe.","[['Study', 'investigated', 'APAP_poisonings'], ['Study', 'investigated', 'Fe_poisonings'], ['APAP_poisonings', 'type_of', 'acute_unintentional_poisonings'], ['Fe_poisonings', 'type_of', 'acute_unintentional_poisonings'], ['Study', 'hypothesized', 'symptom_rates_increase'], ['Study', 'separated_exposures_by', 'substance'], ['Study', 'stratified_exposures_by', 'healthcare_referral_value'], ['APAP', 'has_referral_value_range', 'low_to_medium'], ['APAP', 'has_referral_value_range', 'medium_to_high'], ['Fe', 'has_referral_value_range', 'low_to_medium'], ['Fe', 'has_referral_value_range', 'medium_to_high']]","The purpose of this study was to determine whether patient outcomes were adversely affected as healthcare referral values increased for two common poisonings: acute, unintentional acetaminophen (APAP) poisonings and acute, unintentional iron (Fe) poisonings. We hypothesized that symptom rates would increase with high referral values. Qualifying 1997 exposures were separated by substance (APAP or Fe) and then further stratified into three healthcare referral value ranges. Symptomatic and asymptomatic patients were totaled for each stratum. Expected vs. observed distributions of symptomatic and asymptomatic patients across triage referral strata for a given substance and treatment location were compared using chi-square test for independence. The Wilcoxon-Mann-Whitney test was used to compare the distribution of patients across referral strata for home vs. healthcare facility locations for a specific substance. There were no statistically significant differences in the distribution of symptomatic patients within referral value strata for APAP or for Fe. There was also no difference in distribution of symptomatic patients across strata when comparing home vs. healthcare facility for APAP and Fe.","[['Study', 'conducted_at', 'location_1'], ['Study', 'conducted_at', 'location_2'], ['location_1', 'type_of', 'healthcare_facility'], ['location_2', 'type_of', 'home'], ['APAP', 'has_referral_value_range', 'low_to_medium'], ['APAP', 'has_referral_value_range', 'medium_to_high'], ['Fe', 'has_referral_value_range', 'low_to_medium'], ['Fe', 'has_referral_value_range', 'medium_to_high'], ['APAP_symptomatic_patients_at_location_1', 'number_of', 'symptomatic_patients'], ['APAP_asymptomatic_patients_at_location_1', 'number_of', 'asymptomatic_patients'], ['APAP_symptomatic_patients_at_location_2', 'number_of', 'symptomatic_patients'], ['APAP_asymptomatic_patients_at_location_2', 'number_of', 'asymptomatic_patients'], ['Fe_symptomatic_patients_at_location_1', 'number_of', 'symptomatic_patients'], ['Fe_asymptomatic_patients_at_location_1', 'number_of', 'asymptomatic_patients'], ['Fe_symptomatic_patients_at_location_2', 'number_of', 'symptomatic_patients'], ['Fe_asymptomatic_patients_at_location_2', 'number_of', 'asymptomatic_patients']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Is [18F]-2-fluoro-2-deoxy-d-glucose (FDG) scintigraphy with non-dedicated positron emission tomography useful in the diagnostic management of suspected metastatic thyroid carcinoma in patients with no detectable radioiodine uptake?,"nPET-FDG has a high sensitivity for the detection of tumour sites in patients when pathological iodine uptake cannot be demonstrated and appears to be a useful method in patients with elevated Tg levels, especially when dedicated PET is either unavailable or impractical.","[['nPET-FDG', 'is_used_for', 'detection_of_tumour_sites'], ['nPET-FDG', 'alternative_to', 'pathological_iodine_uptake'], ['nPET-FDG', 'useful_in', 'patients_with_elevated_Tg_levels'], ['nPET-FDG', 'useful_when', 'dedicated_PET_unavailable_or_impractical']]","Yes, [18F]-2-fluoro-2-deoxy-d-glucose (FDG) scintigraphy with non-dedicated positron emission tomography is useful in the diagnostic management of suspected metastatic thyroid carcinoma in patients with no detectable radioiodine uptake.","[['[18F]-2-fluoro-2-deoxy-d-glucose (FDG)', 'used_in', 'diagnostic_management_of_suspected_metastatic_thyroid_carcinoma'], ['FDG', 'useful_in', 'patients_with_no_detectable_radioiodine_uptake']]","Dedifferentiation of thyroid cancer leads to an inability of thyroid cells to concentrate iodine. In these cases, imaging methods that allow an accurate detection of recurrence and/or metastases at an early stage are essential for an adequate management of patients. Positron emission tomography using [18F]-2-fluoro-2-deoxy-d-glucose and a dedicated (dPET-FDG) or non-dedicated (nPET-FDG) camera has been suggested as a potential tool for the detection of tumour foci. This prospective study was undertaken to evaluate nPET-FDG in 51 consecutive patients (18 men, 33 women) with differentiated thyroid cancer (33 papillary, 11 follicular, four insular and three oncocytic (Hurthle-cell) thyroid carcinomas). Selection criteria were high thyroglobulin (Tg) levels (>10 ng/ml off-levothyroxine treatment) and no detectable radioiodine uptake, on a whole body scan performed with a high dose, in the absence of iodine contamination. Results were interpreted in terms of assumed presence of tumoral tIssue. Sensitivity of nPET-FDG was similar to that of conventional imaging modalities (67%). False negative nPET-FDG (n=16) were observed mostly in cases of micro-lesions (lymph nodes or lung metastases). Conversely, nPET-FDG identified new tumoral sites in 11 cases. Better sensitivity was found for nPET-FDG in patients with Tg levels higher than 15 microg/l (P<0.05). On a patient basis, results of nPET-FDG were equivalent to that of dPET-FDG. Finally, nPET-FDG changed treatment strategy in seven patients.","[['differentiated_thyroid_cancer', 'characterized_by', 'inability_to_concentrate_iodine'], ['imaging_methods', 'essential_for', 'detection_of_recurrence_and_metastases'], ['study', 'conducted_on', '51_consecutive_patients'], ['patients', 'suffered_from', 'differentiated_thyroid_cancer'], ['patients', 'classified_into', 'papillary, follicular, insular, and oncocytic_thyroid_carcinomas'], ['selection_criteria', 'based_on', 'high_thyroglobulin_levels_and_no_detectable_radioiodine_uptake'], ['sensitivity_of_nPET-FDG', 'similar_to', 'conventional_imaging_modalities'], ['false_negative_nPET-FDG', 'observed_mostly_in', 'cases_of_micro_lesions']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Do patients with schizophrenia consciously recollect emotional events better than neutral events?,Patients with schizophrenia consciously recollected emotional words better than neutral words.,"[['Patients with schizophrenia', 'consciously_recollect', 'emotional_words']]","Yes, patients with schizophrenia consciously recollect emotional events better than neutral events.","[['Patients with schizophrenia', 'consciously_recollect', 'emotional_events']]","The influence of the emotional valence of words on conscious awareness was assessed in patients with schizophrenia. The remember/know procedure was used to test 24 patients with schizophrenia and 24 normal comparison subjects. Patients' ""remember"" responses and conscious recollection were more frequent for emotional words than for neutral words. In contrast, the levels of ""know"" responses and familiarity were independent of emotional words.","[['Patients with schizophrenia', 'participated_in', 'research_study'], ['research_study', 'tested', '24_patients_with_schizophrenia'], ['research_study', 'tested', '24_normal_comparison_subjects'], ['patients_with_schizophrenia', 'had_more_remember_responses_than', 'neutral_words'], ['patients_with_schizophrenia', 'had_more_conscious_recollection_than', 'neutral_words'], ['emotional_words', 'had_more_frequent_remember_responses_than', 'neutral_words'], ['emotional_words', 'had_more_conscious_recollection_than', 'neutral_words'], ['levels_of_know_responses_and_familiarity', 'were_independent_of', 'emotional_words']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Are impairments of action monitoring and executive control true dissociative dysfunctions in patients with schizophrenia?,"This finding suggests that dysfunction of self-monitoring in schizophrenia does not necessarily reflect a general decline in cognitive function but is evidence of disproportionately pronounced impairment of action monitoring, which may be mediated by a distinct subsystem within the brain's executive attention networks.","[['dysfunction of self-monitoring in schizophrenia', 'implies', 'disproportionately pronounced impairment of action monitoring'], ['disproportionately pronounced impairment of action monitoring', 'mediated by', ""distinct subsystem within the brain's executive attention networks""], ['dysfunction of self-monitoring in schizophrenia', 'not necessarily', 'reflection of general decline in cognitive function']]","No. The patients exhibited no significant dysfunction of attentional control during task performance, but their ability to self-monitor their actions was markedly compromised.","[['patients with schizophrenia', 'exhibited', 'no significant dysfunction of attentional control']]","Impaired self-monitoring is considered a critical deficit of schizophrenia. The authors asked whether this is a specific and isolable impairment or is part of a global disturbance of cognitive and attentional functions. Internal monitoring of erroneous actions, as well as three components of attentional control (conflict resolution, set switching, and preparatory attention) were assessed during performance of a single task by eight high-functioning patients with schizophrenia and eight comparison subjects. The patients exhibited no significant dysfunction of attentional control during task performance. In contrast, their ability to correct errors without external feedback and, by inference, to self-monitor their actions was markedly compromised.","[['schizophrenia patients', 'assessed during performance of a single task', 'eight high-functioning patients'], ['comparison subjects', 'assessed during performance of a single task', 'eight comparison subjects'], ['attentional control', 'components', 'conflict resolution, set switching, and preparatory attention'], ['patients with schizophrenia', 'ability to correct errors without external feedback', 'compromised']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
