question,Graph1,Graph2
What is bipolar disorder stigma at work?,"[['Bipolar Disorder Stigma', 'leads to', 'Unfair Treatment at Work'], ['Unfair Treatment at Work', 'experienced from', 'Coworkers'], ['Unfair Treatment at Work', 'caused by', 'Ignorance of Bipolar Disorder'], ['Unfair Treatment at Work', 'caused by', 'Misunderstanding of Bipolar Disorder'], ['Educating Others', 'mitigates', 'Bipolar Disorder Stigma']]","[['Stigma of Mental Illness', 'affects', 'People with Bipolar Disorder at Work'], ['Stigma of Mental Illness', 'causes', 'Being Held Back at Work'], ['People with Bipolar Disorder', 'experience', 'Unfair Treatment at Work'], ['Unfair Treatment at Work', 'includes', 'Being Passed Over for Promotions'], ['Unfair Treatment at Work', 'includes', 'Being Passed Over for Raises'], ['Ignorance about Bipolar Disorder', 'fuels', 'Unfair Treatment Behaviors'], ['Misconceptions about Bipolar Disorder', 'fuels', 'Unfair Treatment Behaviors'], ['Misconceptions about Bipolar Disorder', 'include', ""Viewing as 'Crazy'""], ['Misconceptions about Bipolar Disorder', 'include', ""Believing Condition is 'All in Their Head'""], ['Americans with Disabilities Act (ADA)', 'protects against', 'Discrimination'], ['Taking Action Against Discrimination', 'requires', 'Researching the Law'], ['Taking Action Against Discrimination', 'requires', 'Seeking Advice'], ['Seeking Advice', 'from', 'Trusted Resources']]"
When are stronger corticosteroids used to treat psoriasis?,"[['Stronger Corticosteroids', 'treats', 'Severe Psoriasis'], ['Stronger Corticosteroids', 'treats', 'Psoriasis on Thicker Skin'], ['Thicker Skin', 'includes', 'Palms'], ['Thicker Skin', 'includes', 'Soles of Feet']]","[['Stronger Corticosteroids', 'used for', 'Severe Psoriasis'], ['Stronger Corticosteroids', 'used for', 'Psoriasis on Thicker Skin'], ['Thicker Skin', 'includes', 'Palms'], ['Thicker Skin', 'includes', 'Soles of Feet'], ['Doctor', 'considers factors for prescribing', 'Corticosteroid'], ['Factors for Prescribing Corticosteroid', 'includes', 'Patient Age'], ['Factors for Prescribing Corticosteroid', 'includes', 'Disease Severity'], ['Factors for Prescribing Corticosteroid', 'includes', 'Disease Location'], ['Factors for Prescribing Corticosteroid', 'includes', 'Potential Side Effects'], ['Following Instructions', 'minimizes', 'Risks'], ['Following Instructions', 'improves', 'Treatment Results'], ['Stronger Corticosteroids', 'can cause', 'Skin Thinning'], ['Stronger Corticosteroids', 'can cause', 'Skin Coloring Changes'], ['Stronger Corticosteroids', 'can cause', 'Increased Hair Growth'], ['Stronger Corticosteroids', 'can cause', 'Infections'], ['Weaker Corticosteroid', 'prescribed for', 'Sensitive Areas'], ['Weaker Corticosteroid', 'prescribed for', 'Long-term Use'], ['Weaker Corticosteroid', 'minimizes', 'Risks']]"
What do I need to know about the plague?,"[['Plague', 'is_a', 'serious disease'], ['Plague', 'outcome_if_untreated', 'fatal'], ['Plague', 'caused_by', 'Yersinia pestis'], ['Yersinia pestis', 'is_a', 'bacteria'], ['Plague', 'has_type', 'Bubonic Plague'], ['Plague', 'has_type', 'Pneumonic Plague'], ['Plague', 'has_type', 'Septicemic Plague'], ['Pneumonic Plague', 'is_most', 'dangerous type'], ['Pneumonic Plague', 'is_most', 'rarest type'], ['Pneumonic Plague', 'spreads_by', 'breathing in bacteria'], ['protection from Pneumonic Plague', 'involves', 'wearing tight-fitting disposable surgical mask']]","[['Plague', 'also_known_as', 'Black Death'], ['Plague', 'is_a', 'bacterial disease'], ['Plague', 'caused_by', 'Yersinia pestis'], ['Plague', 'transmitted_by', 'fleas'], ['Plague', 'contracted_from', 'infected animals'], ['Plague', 'contracted_from', 'infected people'], ['Plague', 'has_type', 'Bubonic Plague'], ['Plague', 'has_type', 'Septicemic Plague'], ['Plague', 'has_type', 'Pneumonic Plague'], ['Bubonic Plague', 'is_most', 'common type'], ['Bubonic Plague', 'causes', 'painful, swollen lymph nodes'], ['Septicemic Plague', 'is', 'more dangerous'], ['Septicemic Plague', 'affects', 'blood'], ['Septicemic Plague', 'causes', 'potential organ failure'], ['Pneumonic Plague', 'is_most', 'rarest type'], ['Pneumonic Plague', 'is_most', 'deadliest type'], ['Pneumonic Plague', 'spreads_through', 'air when someone coughs'], ['chances of contracting Plague', 'are', 'low'], ['Plague', 'more_common_in', 'areas with known outbreaks'], ['areas with known outbreaks', 'includes', 'Africa'], ['areas with known outbreaks', 'includes', 'Asia'], ['areas with known outbreaks', 'includes', 'South America'], ['Plague', 'more_common_among', 'those who work with animals'], ['Plague', 'more_common_among', 'those who hike'], ['Plague', 'more_common_among', 'those who camp'], ['Plague', 'more_common_among', 'those who hunt'], ['Plague symptoms', 'include', 'fever'], ['Plague symptoms', 'include', 'chills'], ['Plague symptoms', 'include', 'headaches'], ['Plague symptoms', 'include', 'swollen lymph nodes'], ['Plague symptoms', 'include', 'bleeding under the skin']]"
What are the symptoms of a normal period?,"[['Normal Period', 'has symptom', 'breast tenderness'], ['Normal Period', 'has symptom', 'bloating'], ['Normal Period', 'has symptom', 'mood swings']]","[['Normal Period', 'involves', 'shedding of uterine lining'], ['shedding of uterine lining', 'results in', 'menstrual flow from vagina'], ['Normal Period', 'has symptom', 'cramping'], ['Normal Period', 'has symptom', 'breast tenderness'], ['Normal Period', 'has symptom', 'bloating'], ['Normal Period', 'has symptom', 'mood swings'], ['Normal Period', 'has symptom', 'acne'], ['Normal Period', 'has symptom', 'sleep issues'], ['Period Duration', 'varies by', 'woman'], ['Menstrual Cycle', 'normal duration range', '21 to 45 days'], ['Hormonal Factors', 'impacts', 'timing of period'], ['Hormonal Factors', 'impacts', 'heaviness of period'], ['Contraceptives', 'impacts', 'timing of period'], ['Contraceptives', 'impacts', 'heaviness of period']]"
How can a white board help me stay organized?,"[['white board', 'supports', 'staying organized'], ['white board', 'placed in', 'frequent location'], ['frequent location', 'example', 'fridge'], ['user', 'writes notes on', 'white board'], ['user', 'writes to-do lists on', 'white board'], ['white board', 'helps track', 'tasks']]","[['white board', 'is', 'effective tool'], ['effective tool', 'supports', 'staying organized'], ['white board', 'enables', 'writing notes'], ['white board', 'enables', 'displaying notes'], ['white board', 'enables', 'writing to-do lists'], ['white board', 'enables', 'displaying to-do lists'], ['notes and to-do lists', 'located in', 'prominent place'], ['prominent place', 'facilitates', 'easy visibility'], ['prominent place', 'facilitates', 'easy access'], ['white board', 'improves memory of', 'important information'], ['white board', 'improves memory of', 'deadlines'], ['white board', 'improves memory of', 'tasks'], ['white board', 'reduces risk of', 'forgetting commitments'], ['white board', 'reduces risk of', 'overlapping commitments'], ['white board', 'allows', 'erasing and updating'], ['erasing and updating', 'maintains', 'current schedule'], ['erasing and updating', 'maintains', 'accurate obligations']]"
What is recovery like for an ankle sprain or fracture?,"[['Ankle sprain', 'difficult to distinguish from', 'Ankle fracture'], ['Ankle sprain', 'heals on its own', 'true'], ['Pain', 'subsides', 'true'], ['Swelling', 'subsides', 'true'], ['Range of motion exercises', 'should begin after', 'Pain subsides'], ['Range of motion exercises', 'should begin after', 'Swelling subsides'], ['Range of motion exercises', 'helps restore', 'Ankle mobility']]","[['Ankle injury', 'can be', 'Ankle sprain'], ['Ankle injury', 'can be', 'Ankle fracture'], ['Recovery from ankle injury', 'involves', 'Rest'], ['Recovery from ankle injury', 'involves', 'Icing'], ['Recovery from ankle injury', 'involves', 'Compression'], ['Recovery from ankle injury', 'involves', 'Elevation'], ['Healing processes', 'differ significantly for', 'Ankle sprain'], ['Healing processes', 'differ significantly for', 'Ankle fracture'], ['Ankle sprain', 'healing time', 'days to several weeks'], ['Ankle sprain healing', 'may involve', 'Anti-inflammatory medications'], ['Ankle sprain healing', 'may involve', 'Rehabilitation exercises'], ['Rehabilitation exercises', 'include', 'Range of motion exercises'], ['Rehabilitation exercises', 'include', 'Strengthening exercises'], ['Rehabilitation exercises', 'include', 'Balance exercises'], ['Ankle fracture', 'requires', 'Medical intervention'], ['Medical intervention for fracture', 'includes', 'Immobilization'], ['Medical intervention for fracture', 'includes', 'Alignment of broken bones'], ['Medical intervention for fracture', 'includes', 'Surgery (severe cases)'], ['Immobilization', 'through', 'Crutches'], ['Immobilization', 'through', 'Cast'], ['Ankle fracture', 'recovery time', '6 weeks to several months'], ['Ankle fracture rehabilitation', 'consists of', 'Basic home exercise program'], ['Doctor', 'should be consulted to determine', 'Exact injury'], ['Doctor', 'provides', 'Appropriate treatment'], ['Doctor', 'provides', 'Advice']]"
What are the symptoms of depression in older adults?,"[['Older adults', 'may experience', 'Depression'], ['Depression', 'may manifest as', 'Fatigue'], ['Depression', 'may manifest as', 'Sleep problems'], ['Depression', 'may manifest as', 'Irritability'], ['Depression', 'may manifest as', 'Confusion'], ['Depression', 'may manifest as', 'Difficulty concentrating'], ['Depression', 'may manifest as', 'Loss of interest in activities'], ['Depression', 'may manifest as', 'Slowed movements'], ['Depression', 'may manifest as', 'Weight changes'], ['Depression', 'may manifest as', 'Appetite changes'], ['Depression', 'may manifest as', 'Feelings of hopelessness'], ['Depression', 'may manifest as', 'Feelings of worthlessness'], ['Depression', 'may manifest as', 'Feelings of guilt'], ['Depression', 'may manifest as', 'Aches and pains'], ['Depression', 'may manifest as', 'Suicidal thoughts'], ['Older adults with depression', 'may not feel', 'Sad or empty feelings'], ['Depression', 'can occur after', 'Death of a spouse']]","[['Depression in older adults', 'manifests differently than', 'Depression in younger adults'], ['Depression in older adults', 'symptoms include', 'Fatigue'], ['Depression in older adults', 'symptoms include', 'Sleep problems'], ['Depression in older adults', 'symptoms include', 'Irritability'], ['Depression in older adults', 'symptoms include', 'Confusion'], ['Depression in older adults', 'symptoms include', 'Difficulty concentrating/paying attention'], ['Depression in older adults', 'symptoms include', 'Loss of interest in activities'], ['Depression in older adults', 'symptoms include', 'Slowed movements'], ['Depression in older adults', 'symptoms include', 'Weight changes'], ['Depression in older adults', 'symptoms include', 'Appetite changes'], ['Depression in older adults', 'symptoms include', 'Hopelessness'], ['Depression in older adults', 'symptoms include', 'Worthlessness'], ['Depression in older adults', 'symptoms include', 'Guilt'], ['Depression in older adults', 'symptoms include', 'Suicidal thoughts'], ['Depression in older adults', 'symptoms include', 'Lack of sad or empty feelings'], ['Depression', 'is not a normal part of', 'Aging'], ['Proper treatment for depression', 'can improve', 'Overall health'], ['Proper treatment for depression', 'can improve', 'Quality of life'], ['Chronic illness', 'is a risk factor for', 'Depression in older adults'], ['Being a woman', 'is a risk factor for', 'Depression in older adults'], ['Death of a spouse', 'is a risk factor for', 'Depression in older adults'], ['Dependence on in-home health care', 'is a risk factor for', 'Depression in older adults'], ['Dependence on hospital care', 'is a risk factor for', 'Depression in older adults'], ['Treatment options for depression', 'include', 'Medication'], ['Treatment options for depression', 'include', 'Psychotherapy'], ['Treatment options for depression', 'include', 'Electroconvulsive therapy (ECT)'], ['Treatment options for depression', 'include', 'Healthy lifestyle changes'], ['Healthy lifestyle changes', 'include', 'Proper nutrition'], ['Healthy lifestyle changes', 'include', 'Regular exercise'], ['Healthy lifestyle changes', 'include', 'Stress management techniques']]"
What's the treatment for joints that bleed because of hemophilia?,"[['Treatment for joint bleeding in hemophilia', 'includes', 'treating bleeding joints'], ['Treatment for joint bleeding in hemophilia', 'includes', 'monitoring physical activities'], ['Treatment for joint bleeding in hemophilia', 'includes', 'resting affected joint'], ['Treatment for joint bleeding in hemophilia', 'includes', 'icing affected joint'], ['Treatment for joint bleeding in hemophilia', 'includes', 'physical therapy']]","[['Treatment for joint bleeding in hemophilia', 'involves', 'administering clotting factors'], ['administering clotting factors', 'purpose', 'stop bleeding'], ['administering clotting factors', 'purpose', 'prevent further bleeding'], ['administering clotting factors', 'method', 'intravenous infusions'], ['administering clotting factors', 'method', 'weekly subcutaneous injections'], ['weekly subcutaneous injections', 'uses medication', 'emicizumab-kxwh'], ['weekly subcutaneous injections', 'uses medication', 'Adynovate'], ['weekly subcutaneous injections', 'uses medication', 'Idelvion'], ['medication choice', 'depends on', 'type of hemophilia'], ['medication choice', 'depends on', 'severity of hemophilia'], ['Rest', 'helps manage', 'pain'], ['Rest', 'helps manage', 'swelling'], ['Rest', 'helps regain', 'joint mobility'], ['Rest', 'helps regain', 'joint strength'], ['Icing', 'helps manage', 'pain'], ['Icing', 'helps manage', 'swelling'], ['Icing', 'helps regain', 'joint mobility'], ['Icing', 'helps regain', 'joint strength'], ['Physical therapy', 'helps manage', 'pain'], ['Physical therapy', 'helps manage', 'swelling'], ['Physical therapy', 'helps regain', 'joint mobility'], ['Physical therapy', 'helps regain', 'joint strength'], ['Monitoring physical activities', 'necessary to prevent', 'injury'], ['Monitoring physical activities', 'necessary to prevent', 'internal bleeding'], ['Complications from treatment', 'include', 'risk of contracting blood-borne diseases'], ['Complications from treatment', 'include', 'changes to immune system'], ['changes to immune system', 'effect', 'make treatment less effective'], ['Doctor', 'advises on', 'appropriate physical activities'], ['Doctor', 'monitors for', 'adverse reactions']]"
Are there options for glucose monitoring other than a glucometer?,"[['Glucose Monitoring', 'has options beyond', 'glucometer'], ['Glucose Monitoring Options', 'include', 'apps'], ['Glucose Monitoring Options', 'include', 'websites'], ['Glucose Monitoring Options', 'include', 'glucometer with voice readout'], ['apps', 'support', 'tracking food'], ['websites', 'support', 'tracking food'], ['apps', 'feature', 'online communities'], ['websites', 'feature', 'online communities'], ['glucometer with voice readout', 'provides', 'voice readout']]","[['Glucose Monitoring', 'has options beyond', 'traditional glucometer'], ['Glucose Monitoring Options', 'include', 'wireless devices'], ['Glucose Monitoring Options', 'include', 'syncing devices'], ['Glucose Monitoring Options', 'include', 'apps'], ['Glucose Monitoring Options', 'include', 'web sites'], ['apps', 'enable', 'sharing data'], ['web sites', 'enable', 'sharing data'], ['sharing data', 'with', 'healthcare professionals'], ['sharing data', 'with', 'loved ones'], ['apps', 'enable', 'tracking food intake'], ['web sites', 'enable', 'tracking food intake'], ['apps', 'enable', 'tracking exercise'], ['web sites', 'enable', 'tracking exercise'], ['apps', 'enable', 'observing long-term glucose trends'], ['web sites', 'enable', 'observing long-term glucose trends'], ['i Health Wireless Smart Gluco-Monitoring System', 'is a type of', 'wireless glucometer'], ['i Health Wireless Smart Gluco-Monitoring System', 'syncs with', 'smartphones'], ['Telcare Wireless Glucose Meter', 'is a type of', 'wireless glucometer'], ['Telcare Wireless Glucose Meter', 'syncs with', 'smartphones'], ['Ditto', 'connects to', 'existing glucose meters'], ['Ditto', 'sends data wirelessly to', 'smartphone app'], ['Diabetes Pal', 'is a type of', 'app'], ['Diabetes Pal', 'tracks', 'glucose levels'], ['Diabetes Pal', 'tracks', 'food intake'], ['Diabetes Pal', 'tracks', 'exercise'], ['d Life Diabetes Companion', 'is a type of', 'app'], ['d Life Diabetes Companion', 'tracks', 'glucose levels'], ['d Life Diabetes Companion', 'tracks', 'food intake'], ['d Life Diabetes Companion', 'tracks', 'exercise'], ['My Glucose Buddy', 'is a type of', 'app'], ['My Glucose Buddy', 'tracks', 'glucose levels'], ['My Glucose Buddy', 'tracks', 'food intake'], ['My Glucose Buddy', 'tracks', 'exercise'], [""My Net Diary's Diabetes Tracker"", 'is a type of', 'app'], [""My Net Diary's Diabetes Tracker"", 'tracks', 'glucose levels'], [""My Net Diary's Diabetes Tracker"", 'tracks', 'food intake'], [""My Net Diary's Diabetes Tracker"", 'tracks', 'exercise'], ['wireless/syncing devices, apps, web sites', 'make', 'glucose monitoring simpler'], ['wireless/syncing devices, apps, web sites', 'make', 'glucose monitoring more effective'], ['wireless/syncing devices, apps, web sites', 'make', 'glucose monitoring more convenient']]"
What do you need to know about moderate aortic stenosis?,"[['Moderate aortic stenosis', 'is a', 'condition'], ['Moderate aortic stenosis', 'involves', 'aortic valve narrowing'], ['aortic valve narrowing', 'reduces', 'blood flow'], ['blood flow', 'to', 'heart'], ['blood flow', 'to', 'body'], ['Moderate aortic stenosis', 'causes symptom', 'shortness of breath'], ['Moderate aortic stenosis', 'causes symptom', 'chest pain'], ['Moderate aortic stenosis', 'causes symptom', 'chest tightness/pressure'], ['Moderate aortic stenosis', 'causes symptom', 'heart palpitations'], ['Moderate aortic stenosis', 'causes symptom', 'difficulty exercising']]","[['Moderate aortic stenosis', 'is a', 'degree of damage'], ['degree of damage', 'to', 'aortic valve'], ['damage to aortic valve', 'causes', 'aortic valve to narrow significantly'], ['aortic valve narrowing', 'allows', 'some blood to pass'], ['Moderate aortic stenosis', 'symptom', 'chest pain'], ['Moderate aortic stenosis', 'symptom', 'tightness'], ['Moderate aortic stenosis', 'symptom', 'shortness of breath'], ['shortness of breath', 'occurs during', 'physical activity'], ['Moderate aortic stenosis', 'symptom', 'heart palpitations'], ['Moderate aortic stenosis', 'symptom', 'heart murmur'], ['heart murmur', 'detected during', 'examination'], ['Treatment for aortic stenosis', 'depends on', 'symptom severity'], ['Treatment for aortic stenosis', 'depends on', 'test results'], ['Severe aortic stenosis', 'typically requires', 'surgery'], ['surgery', 'repairs', 'aortic valve'], ['surgery', 'replaces', 'aortic valve'], ['individuals without symptoms', 'are', 'monitored closely'], ['Moderate aortic stenosis', 'can progress to', 'severe aortic stenosis'], ['progression to severe aortic stenosis', 'occurs if', 'left untreated']]"
What is the treatment for aching head pain caused by multiple sclerosis?,"[['Aching head pain', 'caused by', 'Multiple Sclerosis (MS)'], ['Treatment for Aching head pain (MS-related)', 'includes', 'Medications'], ['Medications', 'include', 'Antidepressants'], ['Medications', 'include', 'Botox injections'], ['Botox injections', 'relaxes', 'Head muscles'], ['Treatment for Aching head pain (MS-related)', 'includes', 'Hypnosis'], ['Treatment for Aching head pain (MS-related)', 'includes', 'Mindfulness'], ['Treatment for Aching head pain (MS-related)', 'includes', 'Cognitive Behavioral Therapy (CBT)']]","[['Aching head pain', 'caused by', 'Multiple Sclerosis (MS)'], ['Treatment for Aching head pain (MS-related)', 'may include', 'Anti-seizure medications'], ['Treatment for Aching head pain (MS-related)', 'may include', 'Pain relievers'], ['Treatment for Aching head pain (MS-related)', 'may include', 'Muscle relaxants'], ['Treatment for Aching head pain (MS-related)', 'may include', 'Soft neck collar'], ['Soft neck collar', 'holds steady', 'Head'], ['Treatment for Aching head pain (MS-related)', 'may include', 'Botox injections'], ['Botox injections', 'paralyzes', 'Muscle'], ['Botox injections', 'paralyzes', 'Nerve'], ['Over-the-counter pain relievers (OTC)', 'can help', 'Aching head pain'], ['Over-the-counter pain relievers (OTC)', 'include', 'Ibuprofen'], ['Over-the-counter pain relievers (OTC)', 'include', 'Aspirin'], ['Consultation with Headache specialist', 'recommended for', 'Aching head pain'], ['Exploring alternative methods', 'recommended for', 'Aching head pain'], ['Alternative methods', 'include', 'Hypnosis'], ['Alternative methods', 'include', 'Mindfulness'], ['Alternative methods', 'include', 'Cognitive Behavioral Therapy (CBT)'], ['Social support from Loved ones', 'important for managing', 'Pain'], ['Social support from Loved ones', 'important for managing', 'Effects of MS']]"
How does physical therapy and exercise help with rheumatoid arthritis?,"[['Physical Therapy & Exercise', 'helps', 'Individuals with Rheumatoid Arthritis'], ['Physical Therapy & Exercise', 'improves', 'movement'], ['Physical Therapy & Exercise', 'reduces', 'pain'], ['Moist Heat', 'eases', 'RA Symptoms'], ['Ice Packs', 'eases', 'RA Symptoms'], ['Relaxation Techniques', 'eases', 'RA Symptoms'], ['Occupational Therapy', 'helps Individuals with RA learn', 'Everyday Activities']]","[['Physical Therapy & Exercise', 'is crucial for managing', 'Rheumatoid Arthritis (RA)'], ['Physical Therapy & Exercise', 'improves', 'Range of Motion'], ['Physical Therapy & Exercise', 'reduces', 'pain'], ['Physical Therapy & Exercise', 'increases', 'Overall Strength'], ['Physical Therapy & Exercise', 'increases', 'Flexibility'], ['Physical Therapy & Exercise', 'can be implemented', 'at home'], ['Physical Therapy & Exercise', 'can be implemented with guidance of', 'healthcare professional'], ['Regular Exercise', 'aids in', 'Weight Management'], ['Weight Management', 'reduces strain on', 'affected joints'], ['Consistent Exercise Routine', 'combined with', 'Medication'], ['Combination of Exercise & Medication', 'improves', 'RA Symptoms'], ['Combination of Exercise & Medication', 'improves', 'overall quality of life'], ['Combination of Exercise & Medication', 'benefits', 'Individuals with RA']]"
I feel bad about not sticking to healthy habits. What can I do about it?,"[['Anchors', 'help remember', 'healthy habits'], ['Anchors', 'help achieve', 'right mindset'], ['Right mindset', 'supports', 'doing healthy habits'], ['Anchors', 'remind of', 'goals'], ['Picture of ideal weight', 'is an example of', 'Anchor'], ['Quote about healthy living', 'is an example of', 'Anchor'], ['Seeing an anchor', 'boosts', 'motivation'], ['Seeing an anchor', 'helps', 'stay on track']]","[['Implementing cues', 'helps remember', 'healthy habits'], ['Implementing cues', 'helps motivate for', 'healthy habits'], ['Cues', 'include', 'Triggers'], ['Cues', 'include', 'Anchors'], ['Triggers', 'can be', 'note'], ['Triggers', 'can be', 'text message'], ['Triggers', 'can be', 'alarm'], ['Anchors', 'can be', 'personal items'], ['Anchors', 'can be', 'sensory experiences'], ['Anchors', 'evoke', 'positive emotions'], ['Anchors', 'evoke', 'feelings associated with goals'], ['Experimenting with cues', 'increases', 'habit adoption'], ['Experimenting with cues', 'increases', 'habit maintenance']]"
What are symptoms of too high or low blood sugar levels?,"[['High Blood Sugar', 'causes', 'Foggy-headed Feeling'], ['High Blood Sugar', 'causes', 'Difficulty Concentrating/Focusing'], ['High Blood Sugar', 'causes', 'Fatigue/Energy Loss'], ['High Blood Sugar', 'causes', 'Nervousness'], ['High Blood Sugar', 'causes', 'Moodiness/Mood Swings'], ['Low Blood Sugar', 'causes', 'Shakiness'], ['Low Blood Sugar', 'causes', 'Sweating'], ['Low Blood Sugar', 'causes', 'Confusion'], ['Low Blood Sugar', 'causes', 'Fainting'], ['High Blood Sugar', 'increases risk of', 'Heart Disease'], ['High Blood Sugar', 'increases risk of', 'Stroke'], ['High Blood Sugar', 'increases risk of', 'Kidney Disease'], ['High Blood Sugar', 'increases risk of', 'Other Health Problems']]","[['High Blood Sugar', 'causes', 'Foggy-headed Feeling'], ['High Blood Sugar', 'causes', 'Fatigue/Energy Loss'], ['High Blood Sugar', 'causes', 'Nervousness'], ['High Blood Sugar', 'causes', 'Moodiness/Mood Swings'], ['Low Blood Sugar', 'causes', 'Dizziness'], ['Low Blood Sugar', 'causes', 'Confusion'], ['Low Blood Sugar', 'causes', 'Fainting'], ['High Blood Sugar', 'increases risk of', 'Heart Disease'], ['High Blood Sugar', 'increases risk of', 'Stroke'], ['High Blood Sugar', 'increases risk of', 'Kidney Disease'], ['Blood Sugar Management', 'avoids', 'Health Problems'], ['American Diabetes Association (ADA)', 'recommends', 'Blood Sugar Level Checking'], ['Blood Sugar Level Checking', 'timing', 'Before Meals'], ['Blood Sugar Level Checking', 'timing', '1-2 Hours After Meals'], ['American Diabetes Association (ADA)', 'recommends', 'Noting Potential Influences on Blood Sugar'], ['American Diabetes Association (ADA)', 'recommends', 'Documenting Exact Food Intake'], ['Healthy Eating Habits', 'helps manage', 'Blood Sugar Levels'], ['Healthy Eating Habits', 'includes', 'Eating Protein-Rich Breakfast'], ['Healthy Eating Habits', 'includes', 'Limiting Sweets'], ['Healthy Eating Habits', 'includes', 'Limiting Processed Foods'], ['Healthy Eating Habits', 'includes', 'Incorporating Healthy Fats'], ['Regular Exercise', 'aids in', 'Blood Sugar Management'], ['Regular Exercise', 'timing', 'After Meals'], ['Consultation', 'with', 'Doctor/Healthcare Professional']]"
How does diet help ease psoriatic arthritis pain?,"[['Healthy Diet', 'eases', 'Psoriatic Arthritis Pain'], ['Healthy Diet', 'avoids', 'Potatoes'], ['Healthy Diet', 'avoids', 'Tomatoes'], ['Healthy Diet', 'avoids', 'Peppers'], ['Healthy Diet', 'avoids', 'Refined Sugar'], ['Healthy Diet', 'avoids', 'Processed Foods'], ['Healthy Diet', 'includes', 'Lean Meats'], ['Healthy Diet', 'includes', 'Poultry'], ['Healthy Diet', 'includes', 'Fish'], ['Healthy Diet', 'includes', 'Beans'], ['Healthy Diet', 'includes', 'Nuts'], ['Healthy Diet', 'limits', 'Alcohol Consumption'], ['Healthy Diet', 'avoids', 'High-fat Dairy Products'], ['Healthy Diet', 'monitors', 'Cholesterol Intake'], ['Healthy Diet', 'monitors', 'Salt Intake']]","[['Healthy Diet', 'manages', 'Psoriatic Arthritis Pain'], ['Healthy Diet', 'manages', 'Psoriatic Arthritis Discomfort'], ['Healthy Diet', 'includes', 'Fruit'], ['Healthy Diet', 'includes', 'Vegetables'], ['Healthy Diet', 'includes', 'Whole Grains'], ['Healthy Diet', 'avoids', 'Processed Foods'], ['Healthy Diet', 'avoids', 'Refined Sugar'], ['Healthy Diet', 'avoids', 'Foods high in fats'], ['Healthy Diet', 'recommends as protein source', 'Lean Meats'], ['Healthy Diet', 'recommends as protein source', 'Poultry'], ['Healthy Diet', 'recommends as protein source', 'Fish'], ['Healthy Diet', 'recommends as protein source', 'Beans'], ['Healthy Diet', 'recommends as protein source', 'Nuts'], ['Healthy Diet', 'limits', 'Alcohol Consumption'], ['Healthy Diet', 'monitors', 'Cholesterol Intake'], ['Healthy Diet', 'monitors', 'Salt Intake'], ['Healthy Diet', 'improves', 'Overall Health'], ['Healthy Diet', 'keeps', 'Joints flexible'], ['Healthy Diet', 'reduces risk of', 'Stiffness'], ['Healthy Diet', 'reduces risk of', 'Muscle Weakness'], ['Exercise', 'alleviates', 'Psoriatic Arthritis Symptoms'], ['Exercise', 'example', 'Riding an Exercise Bike'], ['Exercise', 'example', 'Walking'], ['Herbs', 'provide', 'Relief'], ['Turmeric', 'is a type of', 'Herb'], ['Turmeric', 'use requires discussion with', 'Doctor'], ['Turmeric', 'potential interaction with', 'Medications'], ['Simple Massage Therapy', 'aids in', 'Pain Management'], ['Simple Massage Therapy', 'aids in', 'Stress Reduction'], ['Acupressure', 'aids in', 'Pain Management'], ['Acupressure', 'aids in', 'Stress Reduction']]"
Where can acute myeloid leukemia (AML) spread to?,"[['Acute Myeloid Leukemia (AML)', 'can spread to', 'blood'], ['Acute Myeloid Leukemia (AML)', 'can spread to', 'lymph nodes'], ['Acute Myeloid Leukemia (AML)', 'can spread to', 'liver'], ['Acute Myeloid Leukemia (AML)', 'can spread to', 'spleen'], ['Acute Myeloid Leukemia (AML)', 'can spread to', 'brain and spinal cord'], ['Acute Myeloid Leukemia (AML)', 'can spread to', 'testicles']]","[['Acute Myeloid Leukemia (AML)', 'can spread quickly from', 'bone marrow'], ['Acute Myeloid Leukemia (AML)', 'can spread quickly to', 'lymph nodes'], ['Acute Myeloid Leukemia (AML)', 'can spread quickly to', 'liver'], ['Acute Myeloid Leukemia (AML)', 'can spread quickly to', 'spleen'], ['Acute Myeloid Leukemia (AML)', 'can spread quickly to', 'brain and spinal cord'], ['Acute Myeloid Leukemia (AML)', 'can spread quickly to', 'testicles'], ['Acute Myeloid Leukemia (AML)', 'can be', 'life-threatening'], ['life-threatening', 'without', 'proper treatment'], ['smoking', 'is a risk factor for', 'Acute Myeloid Leukemia (AML)'], ['exposure to certain chemicals', 'is a risk factor for', 'Acute Myeloid Leukemia (AML)'], ['certain chemicals', 'include', 'benzene'], ['certain chemicals', 'include', 'pesticides'], ['certain chemicals', 'include', 'ionizing radiation'], ['certain blood disorders', 'is a risk factor for', 'Acute Myeloid Leukemia (AML)'], ['family history of AML', 'is a risk factor for', 'Acute Myeloid Leukemia (AML)'], ['avoiding smoking', 'can lower risk of', 'Acute Myeloid Leukemia (AML)'], ['minimizing exposure to chemicals', 'can lower risk of', 'Acute Myeloid Leukemia (AML)']]"
