row_id,sentence1,sentence2,kg1,kg2
62,Former company chief financial officer Franklyn M. Bergonzi pleaded guilty to one count of conspiracy on June 5 and agreed to cooperate with prosecutors.,"Last week, former chief financial officer Franklyn Bergonzi pleaded guilty to one count of conspiracy and agreed to cooperate with the government's investigation.","[['Franklyn_M._Bergonzi', 'crime', 'Conspiracy'], ['Franklyn_M._Bergonzi', 'pleadedGuilty', 'June_5']]","[['Franklyn_Bergonzi', 'pleadedGuilty', 'one_count_of_conspiracy'], ['Franklyn_Bergonzi', 'agreedToCooperate', 'government']]"
63,The company didn't detail the costs of the replacement and repairs.,But company officials expect the costs of the replacement work to run into the millions of dollars.,[[]],"[['company_officials', 'expect','millions_of_dollars']]"
64,"Dean told reporters traveling on his 10-city ""Sleepless Summer"" tour that he considered campaigning in Texas a challenge.","Today, Dean ends his four-day, 10-city ""Sleepless Summer"" tour in Chicago and New York.","[['Dean', 'tour', 'Sleepless_Summer'], ['Sleepless_Summer', 'numberOfCities', '10'], ['Dean', 'location', 'Texas']]","[['Dean', 'city', 'Chicago'], ['Dean', 'city', 'New_York'], ['Chicago', 'type', 'City'], ['New_York', 'type', 'City'], ['Dean', 'tour', 'Sleepless_Summer_tour'], ['Sleepless_Summer_tour', 'duration', '4_days'], ['Sleeversless_Summer_tour', 'numberOfCities', '10']]"
65,"""I felt that if I disagreed with Rosie too much I would lose my job,"" she said.","Cavender did say: ""I felt that if I disagreed with Rosie too much I would lose my job.""","[['Rosie','relationship', 'job']]
['she','relationship', 'disagree_with', 'Rosie']
['she','relationship', 'lose_job']","[['Cavender', 'employee', 'Rosie'], ['Cavender', 'fear', 'lose_job']]"
66,The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.,The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.,"[['The_device', 'plays', 'Internet_radio_streams'], ['The_device', 'comesWith', ['30-day_trial', 'RealNetworks_Rhapsody_music_service']]]","[['Product','streams', 'Internet_radio'], ['Product', 'includes', 'RealNetworks_Rhapsody'], ['RealNetworks_Rhapsody', 'type', 'Digital_music_subscription_service'], ['Product', 'offers', '30-day_free_trial']]"
67,"The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.",The dollar dropped to $1.1564 per euro at 7:30 a.m. in London from $1.1486 on Friday.,"[['US_Dollar', 'exchangeRate', '$1.1594'], ['US_Dollar', 'previousExchangeRate', '$1.1486'], ['US_Dollar', 'exchangeRateWithEuro', '$1.1624'], ['Euro', 'exchangeRateWithUSDollar', '$1.1624'], ['Euro', 'previousExchangeRateWithUSDollar', '$1.1486']]","[['US_Dollar', 'exchangeRate', '1.1564'], ['US_Dollar', 'previousExchangeRate', '1.1486'], ['European_Euro', 'exchangeRate', '1.0'], ['London', 'location', '7:30 a.m.']]"
68,"The American decision provoked an angry reaction from the European Commission, which described the move as ""legally unwarranted, economically unfounded and politically unhelpful"".","The European Commission, the EU's powerful executive body, described the move as ""legally unwarranted, economically unfounded and politically unhelpful.""","[['American_decision','reaction', 'European_Commission'], ['European_Commission', 'description', 'angry'], ['European_Commission', 'description1', 'legally_unwarranted'], ['European_Commission', 'description2', 'economically_unfounded'], ['European_Commission', 'description3', 'politically_unhelpful']]","[['European_Commission', 'described','move'], ['move', 'characterizedAs', 'legallyUnwarranted'], ['move', 'characterizedAs', 'economicallyUnfounded'], ['move', 'characterizedAs', 'politicallyUnhelpful'], ['European_Commission', 'role', 'EU_s_powerful_executive_body']]"
69,"Ms. Cripps-Prawak left last Friday, two days after the department introduced a plan to distribute medical marijuana through doctors' offices.","The director of the Office of Medical Access, Cindy Cripps-Prawak, left her job after the department introduced a plan to distribute marijuana through doctors' offices.","[['Ms.\_Cripps-Prawak', 'left', 'last\_Friday'], ['department', 'introducedPlan', 'distribute\_medical\_marijuana'], ['distribute\_medical\_marijuana','method', 'through\_doctors\_offices']]","[['Cindy_Cripps-Prawak', 'occupation', 'Director_of_the_Office_of_Medical_Access'], ['Office_of_Medical_Access', 'introduced', 'plan_to_distribute_marijuana'], ['Cindy_Cripps-Prawak', 'leftJob', 'true'], ['plan_to_distribute_marijuana','method', 'through_doctors_offices']]"
70,"During 2001 and 2002, Morgenthau said, wire transfers from just four of Beacon Hill's 40 accounts totaled more than $3.2 billion.","Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said.","[['Beacon_Hill', 'numberOfTransfers', '40'], ['Beacon_Hill', 'totalTransfers', '3200000000.0']]","[['Beacon_Hill', 'totalTransfers', '3200000000'], ['Morgenthau','said', 'Totaled_more_than_3.2_billion']]

[['Accounts_at_Beacon_Hill', 'number', '40'], ['Transfers_from_accounts', 'amount', '>3200000000'], ['Time_period', 'years', '2001-2002']]

[['Beacon_Hill', 'type', 'Bank']]

[['Morgenthau', 'role', 'Prosecutor']]"
71,"Last year, he made an unsuccessful bid for the Democratic nomination for governor.","He ran last year for the Democratic nomination for Texas governor, but lost the primary to multimillionaire Tony Sanchez.","[['he', 'bidFor', 'Democratic\_nomination\_for\_governor'], ['Democratic\_nomination\_for\_governor', 'type', 'Political\_nomination']]","[['He', 'ranForNomination', 'Democratic_party_for_Texas_governor'], ['He', 'lostPrimaryTo', 'Tony_Sanchez'], ['Tony_Sanchez', 'is', 'Multimillionaire']]"
72,"The nation's largest retailer has told its 100 top suppliers they have to start using electronic tags on all pallets of goods by Jan. 25, 2005.","Wal-Mart has told its top 100 suppliers that they'll need to have radio-frequency ID systems in place for tracking pallets of goods through the supply chain by Jan. 25, 2005.","[['nation's\_largest\_retailer','requires', 'electronic\_tags'], ['electronic\_tags', 'usedFor', 'pallets'], ['pallets', 'of', 'goods'], ['nation''s\_largest\_retailer','suppliers', '100\_top'], ['100\_top\_suppliers', 'deadline', 'Jan.\_25,\_2005']]","[['Wal-Mart','requires', 'radio-frequency_ID_systems'], ['radio-frequency_ID_systems', 'usedFor', 'tracking_pallets'], ['Wal-Mart', 'deadline', 'Jan.\_25,\_2005']]"
73,He was taken to a hospital for precautionary X-rays on his neck.,"Harvey was taken to St. Luke's Hospital for precautionary neck X-rays, which came back negative.","[['He', 'was_taken_to', 'hospital'], ['hospital', 'provides', 'precautionary_X-rays']]","[['Harvey', 'hospital', 'St._Luke_s_Hospital'], ['St._Luke_s_Hospital', 'procedure', 'precautionary_neck_X-rays'], ['Harvey', 'healthCondition', 'Negative']]"
74,"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.","Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes.","[['Morales', 'expressed','sincere_regrets_and_remorse']]","[['Morales', 'pleadedGuilty', 'July']]
[['Morales', 'expressedEmotion','sincere_regret_and_remorse']]"
75,The bill says that a woman who undergoes such an abortion couldn't be prosecuted.,A woman who underwent such an abortion could not be prosecuted under the bill.,"[['Abortion', 'legislation', 'Woman']]",[[]]
76,U.S. District Judge Edmund Sargus ruled that the Akron-based company should have determined that changes at one of its plants would increase overall pollution emissions.,"FirstEnergy Corp. should have determined that modernizing one of its plants would increase overall pollution emissions, U.S. District Judge Edmund Sargus ruled Thursday.","[['Akron-based\_company','shouldHaveDetermined', 'increase\_of\_overall\_pollution\_emissions'], ['Akron-based\_company', 'location', 'Akron'], ['changes\_at\_one\_of\_its\_plants', 'leadsTo', 'increase\_of\_overall\_pollution\_emissions'], ['U.S.\_District\_Judge\_Edmund\_Sargus', 'ruled', 'Akron-based\_company']]","[['FirstEnergy_Corp','shouldHaveDetermined', 'increase_emissions'], ['FirstEnergy_Corp', 'plant', '(unspecified)'], ['emissions', 'type', 'pollution']]"
77,"Site Finder has been visited 65 million times since its introduction, Galvin said.","Through Sunday, Sept. 21, Site Finder has been visited over 65 million times by Internet users.","[['Site_Finder', 'numberOfVisits', '65_million']]","[['Site_Finder', 'visits', '65_million']]"
78,There are 103 Democrats in the Assembly and 47 Republicans.,Democrats dominate the Assembly while Republicans control the Senate.,"[['Assembly', 'numberOfDemocrats', '103'], ['Assembly', 'numberOfRepublicans', '47'], ['Democrats', 'numberOfMembers', '103'], ['Republicans', 'numberOfMembers', '47']]","[['Democrats','majority', 'Assembly'], ['Republicans','majority', 'Senate']]"
79,"Mr Pollard said: ""This is a terrible personal tragedy and a shocking blow for James's family.","Nick Pollard, the head of Sky News said: ""This is a shocking blow for James's family.",[],"[['Nick_Pollard', 'occupation', 'head_of_Sky_News'], ['James', 'familyMemberOf', 'Nick_Pollard']]"
80,"""I came basically to Washington to establish relationships and to make sure that we are getting more federal money to California,"" Schwarzenegger said after meeting with congressional Republicans.","""I came to Washington basically to establish relationships and make sure we are getting more federal money,"" Schwarzenegger said after one meeting.","[['Schwarzenegger', 'cameTo', 'Washington'], ['Schwarzenegger', 'purpose', 'establish\_relationships'], ['Schwarzenegger', 'purpose', 'getting\_more\_federal\_money'], ['California', 'location', 'California'], ['Congressional\_Republicans', 'group','republicans'], ['Schwarzenegger','metWith', 'Congressional\_Republicans']]","[['Schwarzenegger','reasonForVisiting', 'Washington'], ['Schwarzenegger', 'action', 'establish\_relationships'], ['Schwarzenegger', 'action', 'ensure\_more\_federal\_money']]"
81,"The latest snapshot of the labor markets was slightly better than economists were expecting; they were forecasting claims to fall no lower than 410,000 for last week.","Despite problems in the job market, the latest snapshot of the labor markets was slightly better than economists were expecting.","[['labor_markets', 'latest_snapshot','slightly_better'], ['economists', 'forecast', '410000_or_more'], ['labor_markets', 'claims', 'lower_than', '410000']]","[['labor_markets', 'is','snapshot'], ['labor_markets', 'was', 'better'], ['labor_markets', 'was','slightly_better'], ['labor_markets', 'was_expecting', 'economists']]"
82,"""They were tossed around like feathers,"" Gordon said.","""The concrete barriers (between lanes) were being tossed around like feathers.""",[],[]
83,"Chante Jawan Mallard, 27, went on trial Monday, charged with first-degree murder.","Chante Jawaon Mallard, 27, is charged with murder and tampering with evidence.","[['Chante_Jawan_Mallard', 'age', '27'], ['Chante_Jawan_Mallard', 'charge', 'first-degree_murder'], ['Chante_Jawan_Mallard', 'event', 'went_on_trial']]","[['Chante_Jawaon_Mallard', 'age', '27'], ['Chante_Jawaon_Mallard', 'charge','murder'], ['Chante_Jawaon_Mallard', 'charge', 'tampering_with_evidence']]"
84,"""IT is the only vehicle on which established economies will be able to compete,"" Barrett said.","""IT is the only vehicle on which established economies will be able to compete"" with fast-growing economies such as China and India, Barrett said.","[['IT', 'type','vehicle'], ['established_economies', 'canCompeteWith', 'IT']]","[['IT', 'competeWith', ['China', 'India']]]"
85,"Linda Saunders pleaded guilty in federal court to six charges, including extortion, money laundering and conspiracy.",Former Phipps aides Linda Saunders and Bobby McLamb have both pleaded guilty to federal charges including extortion.,"[['Linda\_Saunders', 'pleadedGuiltyTo', ['extortion','money\_laundering', 'conspiracy']]]","[['Linda_Saunders', 'crime', 'Extortion'], ['Linda_Saunders', 'hasPledGuilty', 'Federal_charges'], ['Bobby_McLamb', 'crime', 'Extortion'], ['Bobby_McLamb', 'hasPledGuilty', 'Federal_charges'], ['Federal_charges', 'type', 'Extortion']]"
86,Vivendi shares closed 3.8 percent up in Paris at 15.78 euros.,Vivendi shares were 0.3 percent up at 15.62 euros in Paris at 0841 GMT.,"[['Vivendi', 'priceChange', '3.8 (percent)'], ['Vivendi', 'price', '15.78 (euros)'], ['Vivendi', 'location', 'Paris']]","[['Vivendi', 'price', '15.62 (euros)'], ['Vivendi', 'location', 'Paris'], ['Vivendi', 'priceChange', '0.3 (percent)'], ['Vivendi', 'time', '0841 (GMT)']]"
87,Microsoft has identified the freely distributed Linux software as one of the biggest threats to its sales.,The company has publicly identified Linux as one of its biggest competitive threats.,"[['Microsoft', 'perceivesThreat', 'Linux_software']]","[['Linux', 'competitiveThreatTo', 'company']]"
88,"Antonio Monteiro de Castro, 58, currently director of the group’s Latin America & Caribbean operations, will become chief operating officer from the same date.","BAT also said Antonio Monteiro de Castro, director for Latin America and the Caribbean, would become chief operating officer on January 1, 2004.","[['Antonio_Monteiro_de_Castro', 'age', '58'], ['Antonio_Monteiro_de_Castro', 'currentPosition', 'director_of_Latin_America_&_Caribbean_operations'], ['Antonio_Monteiro_de_Castro', 'newPosition', 'chief_operating_officer']]","[['Antonio_Monteiro_de_Castro', 'role', 'chief_operating_officer'], ['Antonio_Monteiro_de_Castro','startDate', '2004-01-01']]"
89,"""Spin and manipulative public relations and propaganda are not the answer,"" it said.","The report added that ""spin"" and manipulative public relations ""are not the answer,"" but that neither is avoiding the debate.",[],[]
90,"Another shooting linked to the spree occurred Nov. 11 at Hamilton Central Elementary in Obetz, about two miles from the freeway.","The latest shooting linked to the spree was a Nov. 11 shooting at Hamilton Township Elementary School in Obetz, about two miles from the freeway.","[['Hamilton_Central_Elementary', 'location', 'Obetz'], ['Hamilton_Central_Elementary', 'type', 'Elementary_school'], ['Hamilton_Central_Elementary', 'linkedEvent','shooting_spree']]","[['Hamilton Township Elementary School', 'location', 'Obetz'], ['Hamilton Township Elementary School', 'type', 'Elementary_School'], ['latest_shooting', 'date', 'Nov\_11'], ['latest_shooting', 'location', 'Hamilton_Township_Elementary_School'], ['latest_shooting', 'distanceFromFreeway', 'two_miles']]"
91,"On Tuesday, the central bank left interest rates steady, as expected, but also declared that overall risks were weighted toward weakness and warned of deflation risks.","The central bank's policy board left rates steady for now, as widely expected, but surprised the market by declaring that overall risks were weighted toward weakness.","[['Central_bank', 'dayOfWeek', 'Tuesday'], ['Central_bank', 'action', 'left_interest_rates_steady'], ['Central_bank', 'expectationMet', 'Yes'], ['Central_bank', 'risks', 'weighted_toward_weakness'], ['Central_bank', 'risks', 'deflation_risks']]","[['central_bank', 'policy_board', 'left_rates_steady'], ['central_bank', 'policy_board', 'declared_risks', 'weakness']]"
92,"The new system costs between $1.1 million and $22 million, depending on configuration.","The system is priced from US$1.1 million to $22.4 million, depending on configuration.","[['new\_system', 'cost', '[1000000, 22000000]']]","[['System', 'priceRange', ['US$1.1_million', '$22.4_million']]]"
93,Fighting erupted after four North Korean journalists confronted a dozen South Korean activists protesting human rights abuses in the North outside the main media centre.,Trouble flared when at least four North Korean reporters rushed from the Taegu media centre to confront a dozen activists protesting against human rights abuses in the North.,"[['North_Korean_journalists', 'confronted', 'South_Korean_activists'], ['South_Korean_activists', 'protesting', 'human_rights_abuses_in_North'], ['main_media_centre', 'location_of', 'confrontation']]","[['North_Korean_reporters', 'number', 'at_least_four'], ['North_Korean_reporters', 'action', 'rushed'], ['Taegu_media_centre', 'location', 'Taegu'], ['Activists', 'action', 'protesting'], ['Activists','reason', 'against_human_rights_abuses_in_North'], ['North', 'issue', 'human_rights_abuses']]"
94,Dusty had battled kidney cancer for more than a year.,Dusty had surgery for cancer in 2001 and had a kidney removed.,"[['Dusty', 'disease', 'Kidney_cancer']]","[['Dusty', 'hadSurgeryFor', 'Cancer'], ['Cancer', 'affectedPart', 'Kidney'], ['Dusty', 'hadSurgeryFor', 'Kidney_removal']]"
95,"According to SunnComm's Peter Jacobs, ""MediaMax performs exactly as 'advertised' to the companies who purchased it.","""MediaMax performs EXACTLY as ""advertised"" to the companies who purchased it,"" Jacobs said in the statement.","[['MediaMax', 'performsAsAdvertised', 'SunnComm'], ['SunnComm','representedBy', 'Peter_Jacobs']]","[['MediaMax', 'performsAsAdvertised', 'Companies_who_purchased_it']]"
96,"Kadyrov was not injured, but four of his bodyguards were among those killed.",But Itar-Tass news agency said four of his bodyguards were among those killed by the bomb.,"[['Kadyrov', 'event', 'was_not_injured'], ['Kadyrov', 'protector', 'bodyguards'], ['bodyguards', 'quantity', 'four'], ['bodyguards','status', 'killed']]","[['Itar-Tass', 'newsAgency', '_'], ['Itar-Tass','reported', 'four_of_bodyguards_were_killed'], ['four_of_bodyguards', 'were_killed_by', 'bomb']]"
97,"The router will be available in the first quarter of 2004 and will cost around $200, the company said.","Netgear prices the WGT634U Super Wireless Media Router, which will be available in the first quarter of 2004, at under $200.","[['Router', 'availability', 'First_quarter_of_2004'], ['Router', 'cost', '200 (dollars)']]","[['Netgear', 'prices', ['WGT634U_Super_Wireless_Media_Router', 'under', '200']], ['WGT634U_Super_Wireless_Media_Router', 'availableFromQuarter', '2004_Q1']]"
98,The commission estimates California lost $1.34 billion -- the most of any state -- to tax shelters in 2001.,The commission estimated California lost $937 million to corporate tax shelters in 2001.,"[['California', 'lostMoneyTo', '1.34_billion'], ['California', 'year', '2001'], ['California', 'lostTo', 'tax_shelters']]","[['California', 'lostRevenueTo', 'Corporate_tax_shelters'], ['Corporate_tax_shelters', 'year', '2001'], ['California', 'lostRevenue', '937000000']]"
99,The officials did not say whether U.S. forces crossed into Syrian territory and were vague about how the Syrian border guards became involved.,"U.S. officials did not say whether American forces, who were acting on intelligence, crossed into Syrian territory and were vague about how the Syrian guards were involved.","[['U.S._forces', 'crossedInto', 'Syrian_territory'], ['Syrian_border_guards', 'involved', 'U.S._forces']]","[['U.S._officials', 'vagueness', 'Syrian_guards'], ['Syrian_guards', 'involvement', 'American_forces'], ['American_forces', 'action', 'Intelligence']]"
