id,paragraph_1,kg_1,paragraph_2,kg_2
226,"The potassium cation increases the activity of the diuretic activities, but decreases the efficacy of alfentanil and naloxegol. Metoclopramide decreases the efficacy of dexamethasone, ethylmorphine, and potassium perchlorate. Linaclotide decreases the efficacy of scopolamine, propiomazine, and metocurine. Additionally, normethadone decreases the efficacy of metoclopramide, potassium cation, and linaclotide.","[[""potassium_cation"", ""increases"", ""diuretic_activities""], [""potassium_cation"", ""decreases"", ""alfentanil""], [""potassium_cation"", ""decreases"", ""naloxegol""], [""metoclopramide"", ""decreases"", ""dexamethasone""], [""metoclopramide"", ""decreases"", ""ethylmorphine""], [""metoclopramide"", ""decreases"", ""potassium_perchlorate""], [""linaclotide"", ""decreases"", ""scopolamine""], [""linaclotide"", ""decreases"", ""propiomazine""], [""linaclotide"", ""decreases"", ""metocurine""], [""normethadone"", ""decreases"", ""metoclopramide""], [""normethadone"", ""decreases"", ""potassium_cation""], [""normethadone"", ""decreases"", ""linaclotide""]]","The presence of potassium cation leads to a decrease in the efficacy of alfentanil and naloxegol, and a decrease in the activity of the diuretic activities. Metoclopramide reduces the efficacy of dexamethasone, ethylmorphine, and potassium perchlorate. Additionally, linaclotide decreases the efficacy of scopolamine, propiomazine, and metocurine. Lastly, normethadone decreases the efficacy of metoclopramide, potassium cation, and linaclotide.","[[""potassium_cation"", ""decreases"", ""alfentanil""], [""potassium_cation"", ""decreases"", ""naloxegol""], [""potassium_cation"", ""decreases"", ""diuretic_activities""], [""metoclopramide"", ""reduces"", ""dexamethasone""], [""metoclopramide"", ""reduces"", ""ethylmorphine""], [""metoclopramide"", ""reduces"", ""potassium_perchlorate""], [""linaclotide"", ""decreases"", ""scopolamine""], [""linaclotide"", ""decreases"", ""propiomazine""], [""linaclotide"", ""decreases"", ""metocurine""], [""normethadone"", ""decreases"", ""metoclopramide""], [""normethadone"", ""decreases"", ""potassium_cation""], [""normethadone"", ""decreases"", ""linaclotide""]]"
227,Clopidogrel increases the effect of hypoglycemia. It is a substance that treats coronary disease. Magnesium glycinate increases the efficacy of gallamine triethiodide but decreases the efficacy of desloratadine and dihydrocodeine. Bencyclane decreases the efficacy of clopidogrel but increases the efficacy of ravuconazole and decreases the efficacy of magnesium glycinate.,"[[""Clopidogrel"", ""increases_effect_of"", ""hypoglycemia""], [""Clopidogrel"", ""treats"", ""coronary_disease""], [""Magnesium_glycinate"", ""increases_efficacy_of"", ""gallamine_triethiodide""], [""Magnesium_glycinate"", ""decreases_efficacy_of"", ""desloratadine""], [""Magnesium_glycinate"", ""decreases_efficacy_of"", ""dihydrocodeine""], [""Bencyclane"", ""decreases_efficacy_of"", ""clopidogrel""], [""Bencyclane"", ""increases_efficacy_of"", ""ravuconazole""], [""Bencyclane"", ""decreases_efficacy_of"", ""magnesium_glycinate""]]","The drug clopidogrel increases the effect of hypoglycemia and is a substance that treats coronary disease. Magnesium glycinate increases the efficacy of gallamine triethiodide, but decreases the efficacy of desloratadine and dihydrocodeine. Bencyclane decreases the efficacy of clopidogrel, but increases the efficacy of ravuconazole, and also decreases the efficacy of magnesium glycinate.","[[""Clopidogrel"", ""increases_effect_of"", ""hypoglycemia""], [""Clopidogrel"", ""treats"", ""coronary_disease""], [""Magnesium_glycinate"", ""increases_efficacy_of"", ""gallamine_triethiodide""], [""Magnesium_glycinate"", ""decreases_efficacy_of"", ""desloratadine""], [""Magnesium_glycinate"", ""decreases_efficacy_of"", ""dihydrocodeine""], [""Bencyclane"", ""decreases_efficacy_of"", ""clopidogrel""], [""Bencyclane"", ""increases_efficacy_of"", ""ravuconazole""], [""Bencyclane"", ""decreases_efficacy_of"", ""magnesium_glycinate""]]"
228,Paricalcitol increases the activity of the hypercalcemic activities. Hydrocortisone succinate has an effect on hyperglycemia. Hydrocortisone succinate decreases the efficacy of both donepezil and paricalcitol.,"[[""Paricalcitol"", ""increases"", ""hypercalcemic_activities""], [""Hydrocortisone_succinate"", ""has_effect_on"", ""hyperglycemia""], [""Hydrocortisone_succinate"", ""decreases_efficacy_of"", ""donepezil""], [""Hydrocortisone_succinate"", ""decreases_efficacy_of"", ""Paricalcitol""]]",The drug Paricalcitol decreases the activity of the hypercalcemic activities. Hydrocortisone succinate has an effect on hyperglycemia. It also decreases the efficacy of donepezil and Paricalcitol.,"[[""Paricalcitol"", ""decreases"", ""hypercalcemic_activities""], [""Hydrocortisone_succinate"", ""has_effect_on"", ""hyperglycemia""], [""Hydrocortisone_succinate"", ""decreases_efficacy_of"", ""donepezil""], [""Hydrocortisone_succinate"", ""decreases_efficacy_of"", ""Paricalcitol""]]"
229,"Peginterferon alfa-2a decreases the activity of the cardiotoxic activities, reduces the efficacy of the rotavirus vaccine, and affects apolipoprotein H. Hydrocortisone succinate decreases the efficacy of hyaluronidase (ovine). Hepatitis A vaccine diminishes the efficacy of peginterferon alfa-2a, ponesimod, and hydrocortisone succinate.","[[""Peginterferon_alfa-2a"", ""decreases_activity_of"", ""cardiotoxic_activities""], [""Peginterferon_alfa-2a"", ""reduces_efficacy_of"", ""rotavirus_vaccine""], [""Peginterferon_alfa-2a"", ""affects"", ""apolipoprotein_H""], [""Hydrocortisone_succinate"", ""decreases_efficacy_of"", ""hyaluronidase_(ovine)""], [""Hepatitis_A_vaccine"", ""diminishes_efficacy_of"", ""Peginterferon_alfa-2a""], [""Hepatitis_A_vaccine"", ""diminishes_efficacy_of"", ""ponesimod""], [""Hepatitis_A_vaccine"", ""diminishes_efficacy_of"", ""hydrocortisone_succinate""]]","The drug Peginterferon alfa-2a decreases the activity of cardiotoxic activities, decreases the efficacy of the rotavirus vaccine, and affects the apolipoprotein H. Additionally, hydrocortisone succinate decreases the efficacy of hyaluronidase (ovine). The hepatitis A vaccine reduces the efficacy of Peginterferon alfa-2a, ponesimod, and hydrocortisone succinate.","[[""Peginterferon_alfa-2a"", ""decreases_activity_of"", ""cardiotoxic_activities""], [""Peginterferon_alfa-2a"", ""decreases_efficacy_of"", ""rotavirus_vaccine""], [""Peginterferon_alfa-2a"", ""affects"", ""apolipoprotein_H""], [""Hydrocortisone_succinate"", ""decreases_efficacy_of"", ""hyaluronidase_(ovine)""], [""Hepatitis_A_vaccine"", ""reduces_efficacy_of"", ""Peginterferon_alfa-2a""], [""Hepatitis_A_vaccine"", ""reduces_efficacy_of"", ""ponesimod""], [""Hepatitis_A_vaccine"", ""reduces_efficacy_of"", ""hydrocortisone_succinate""]]"
230,"Insulin lispro increases the activity of the hypoglycemic activities. Additionally, insulin lispro decreases the efficacy of both promethazine and somatrogon. Somatrogon, in turn, decreases the efficacy of canagliflozin.","[[""Insulin_lispro"", ""increases"", ""hypoglycemic_activities""], [""Insulin_lispro"", ""decreases"", ""promethazine""], [""Insulin_lispro"", ""decreases"", ""somatrogon""], [""Somatrogon"", ""decreases"", ""canagliflozin""]]","Insulin lispro decreases the efficacy of promethazine and somatrogon, as well as the activity of the hypoglycemic activities. Somatrogon also decreases the efficacy of canagliflozin.","[[""Insulin_lispro"", ""decreases"", ""promethazine""], [""Insulin_lispro"", ""decreases"", ""somatrogon""], [""Insulin_lispro"", ""decreases"", ""hypoglycemic_activities""], [""Somatrogon"", ""decreases"", ""canagliflozin""]]"
231,"The drug donepezil decreases the efficacy of pipecuronium, aclidinium, and methylprednisolone aceponate. Additionally, sodium tartrate decreases the efficacy of tolterodine, amobarbital, and darodipine. Furthermore, tropicamide decreases the efficacy of donepezil, lactitol, and sodium tartrate.","[[""donepezil"", ""decreases_efficacy_of"", ""pipecuronium""], [""donepezil"", ""decreases_efficacy_of"", ""aclidinium""], [""donepezil"", ""decreases_efficacy_of"", ""methylprednisolone_aceponate""], [""sodium_tartrate"", ""decreases_efficacy_of"", ""tolterodine""], [""sodium_tartrate"", ""decreases_efficacy_of"", ""amobarbital""], [""sodium_tartrate"", ""decreases_efficacy_of"", ""darodipine""], [""tropicamide"", ""decreases_efficacy_of"", ""donepezil""], [""tropicamide"", ""decreases_efficacy_of"", ""lactitol""], [""tropicamide"", ""decreases_efficacy_of"", ""sodium_tartrate""]]","The drug donepezil decreases the efficacy of multiple medications including pipecuronium, aclidinium, and methylprednisolone aceponate. Similarly, sodium tartrate reduces the effectiveness of tolterodine, amobarbital, and darodipine. Additionally, tropicamide decreases the efficacy of donepezil, lactitol, and sodium tartrate.","[[""donepezil"", ""decreases_efficacy_of"", ""pipecuronium""], [""donepezil"", ""decreases_efficacy_of"", ""aclidinium""], [""donepezil"", ""decreases_efficacy_of"", ""methylprednisolone_aceponate""], [""sodium_tartrate"", ""reduces_effectiveness_of"", ""tolterodine""], [""sodium_tartrate"", ""reduces_effectiveness_of"", ""amobarbital""], [""sodium_tartrate"", ""reduces_effectiveness_of"", ""darodipine""], [""tropicamide"", ""decreases_efficacy_of"", ""donepezil""], [""tropicamide"", ""decreases_efficacy_of"", ""lactitol""], [""tropicamide"", ""decreases_efficacy_of"", ""sodium_tartrate""]]"
232,"When calcium cation is present, it decreases the efficacy of various substances such as thyroid, barnidipine, and antithrombin alfa. Carboxymethylcellulose also decreases the efficacy of isradipine, buclizine, and vecuronium. Additionally, azelnidipine contributes to the decrease in efficacy of carboxymethylcellulose, castor oil, and calcium cation.","[[""calcium_cation"", ""decreases_efficacy_of"", ""thyroid""], [""calcium_cation"", ""decreases_efficacy_of"", ""barnidipine""], [""calcium_cation"", ""decreases_efficacy_of"", ""antithrombin_alfa""], [""carboxymethylcellulose"", ""decreases_efficacy_of"", ""isradipine""], [""carboxymethylcellulose"", ""decreases_efficacy_of"", ""buclizine""], [""carboxymethylcellulose"", ""decreases_efficacy_of"", ""vecuronium""], [""azelnidipine"", ""contributes_to_decrease_in_efficacy_of"", ""carboxymethylcellulose""], [""azelnidipine"", ""contributes_to_decrease_in_efficacy_of"", ""castor_oil""], [""azelnidipine"", ""contributes_to_decrease_in_efficacy_of"", ""calcium_cation""]]","Calcium cation decreases efficacy in various substances such as thyroid, barnidipine, and antithrombin alfa. Carboxymethylcellulose also decreases efficacy in medications like isradipine, buclizine, and vecuronium. Additionally, azelnidipine decreases efficacy of substances including carboxymethylcellulose, castor oil, and calcium cation.","[[""calcium_cation"", ""decreases_efficacy_in"", ""thyroid""], [""calcium_cation"", ""decreases_efficacy_in"", ""barnidipine""], [""calcium_cation"", ""decreases_efficacy_in"", ""antithrombin_alfa""], [""carboxymethylcellulose"", ""decreases_efficacy_in"", ""isradipine""], [""carboxymethylcellulose"", ""decreases_efficacy_in"", ""buclizine""], [""carboxymethylcellulose"", ""decreases_efficacy_in"", ""vecuronium""], [""azelnidipine"", ""decreases_efficacy_of"", ""carboxymethylcellulose""], [""azelnidipine"", ""decreases_efficacy_of"", ""castor_oil""], [""azelnidipine"", ""decreases_efficacy_of"", ""calcium_cation""]]"
233,"Cephalexin has side effects such as gastrointestinal disorder and hepatitis. Catridecacog decreases the efficacy of bivalirudin, argatroban, and fondaparinux. Saruplase decreases the efficacy of cephalexin, latamoxef, and catridecacog. Cefdinir decreases the efficacy of tenecteplase and saruplase, and has a side effect of anaphylactic shock. Tenecteplase increases the efficacy of levocarnitine, but decreases the efficacy of cefapirin and cefamandole.","[[""Cephalexin"", ""has_side_effect"", ""gastrointestinal_disorder""], [""Cephalexin"", ""has_side_effect"", ""hepatitis""], [""Catridecacog"", ""decreases_efficacy_of"", ""bivalirudin""], [""Catridecacog"", ""decreases_efficacy_of"", ""argatroban""], [""Catridecacog"", ""decreases_efficacy_of"", ""fondaparinux""], [""Saruplase"", ""decreases_efficacy_of"", ""cephalexin""], [""Saruplase"", ""decreases_efficacy_of"", ""latamoxef""], [""Saruplase"", ""decreases_efficacy_of"", ""catridecacog""], [""Cefdinir"", ""decreases_efficacy_of"", ""tenecteplase""], [""Cefdinir"", ""decreases_efficacy_of"", ""saruplase""], [""Cefdinir"", ""has_side_effect"", ""anaphylactic_shock""], [""Tenecteplase"", ""increases_efficacy_of"", ""levocarnitine""], [""Tenecteplase"", ""decreases_efficacy_of"", ""cefapirin""], [""Tenecteplase"", ""decreases_efficacy_of"", ""cefamandole""]]","Cephalexin has side effects including gastrointestinal disorder and hepatitis. Catridecacog decreases the efficacy of bivalirudin, argatroban, and fondaparinux. Saruplase decreases the efficacy of latamoxef. Cefdinir has a side effect of anaphylactic shock. Tenecteplase increases the efficacy of levocarnitine and decreases the efficacy of cefapirin and cefamandole.","[[""Cephalexin"", ""has_side_effect"", ""gastrointestinal_disorder""], [""Cephalexin"", ""has_side_effect"", ""hepatitis""], [""Catridecacog"", ""decreases_efficacy_of"", ""bivalirudin""], [""Catridecacog"", ""decreases_efficacy_of"", ""argatroban""], [""Catridecacog"", ""decreases_efficacy_of"", ""fondaparinux""], [""Saruplase"", ""decreases_efficacy_of"", ""latamoxef""], [""Cefdinir"", ""has_side_effect"", ""anaphylactic_shock""], [""Tenecteplase"", ""increases_efficacy_of"", ""levocarnitine""], [""Tenecteplase"", ""decreases_efficacy_of"", ""cefapirin""], [""Tenecteplase"", ""decreases_efficacy_of"", ""cefamandole""]]"
234,"The drug cholecalciferol increases the risk of hypokalemia and decreases the efficacy of prednisone acetate. Isoflurophate decreases the efficacy of benactyzine, prednisolone acetate, and fluocortolone pivalate. Hydrocortisone acetate has an effect on tendinopathy and reduces the efficacy of cholecalciferol and isoflurophate.","[[""cholecalciferol"", ""increases_risk_of"", ""hypokalemia""], [""cholecalciferol"", ""decreases_efficacy_of"", ""prednisone_acetate""], [""isoflurophate"", ""decreases_efficacy_of"", ""benactyzine""], [""isoflurophate"", ""decreases_efficacy_of"", ""prednisolone_acetate""], [""isoflurophate"", ""decreases_efficacy_of"", ""fluocortolone_pivalate""], [""hydrocortisone_acetate"", ""has_effect_on"", ""tendinopathy""], [""hydrocortisone_acetate"", ""reduces_efficacy_of"", ""cholecalciferol""], [""hydrocortisone_acetate"", ""reduces_efficacy_of"", ""isoflurophate""]]","Cholecalciferol decreases the efficacy of prednisone acetate and the effect of hypokalemia. Isoflurophate decreases the efficacy of benactyzine, prednisolone acetate, and fluocortolone pivalate. Hydrocortisone acetate has an effect on tendinopathy and decreases the efficacy of both cholecalciferol and isoflurophate.","[[""cholecalciferol"", ""decreases_efficacy_of"", ""prednisone_acetate""], [""cholecalciferol"", ""decreases_effect_of"", ""hypokalemia""], [""isoflurophate"", ""decreases_efficacy_of"", ""benactyzine""], [""isoflurophate"", ""decreases_efficacy_of"", ""prednisolone_acetate""], [""isoflurophate"", ""decreases_efficacy_of"", ""fluocortolone_pivalate""], [""hydrocortisone_acetate"", ""has_effect_on"", ""tendinopathy""], [""hydrocortisone_acetate"", ""decreases_efficacy_of"", ""cholecalciferol""], [""hydrocortisone_acetate"", ""decreases_efficacy_of"", ""isoflurophate""]]"
235,"Telaprevir increases the adverse effects. Telaprevir is affecting both apolipoprotein H and inosine triphosphatase. Microscopic polyangiitis presents phenotypes of both peripheral neuropathy and gangrene. Inosine triphosphatase causes conditions such as microscopic polyangiitis, drug toxicity, and hepatitis C.","[[""Telaprevir"", ""increases"", ""adverse_effects""], [""Telaprevir"", ""affects"", ""apolipoprotein_H""], [""Telaprevir"", ""affects"", ""inosine_triphosphatase""], [""Microscopic_polyangiitis"", ""presents_phenotype"", ""peripheral_neuropathy""], [""Microscopic_polyangiitis"", ""presents_phenotype"", ""gangrene""], [""Inosine_triphosphatase"", ""causes"", ""microscopic_polyangiitis""], [""Inosine_triphosphatase"", ""causes"", ""drug_toxicity""], [""Inosine_triphosphatase"", ""causes"", ""hepatitis_C""]]","Telaprevir increases the adverse effects. Telaprevir is affecting apolipoprotein H and inosine triphosphatase. Microscopic polyangiitis presents phenotypes of peripheral neuropathy and gangrene. Inosine triphosphatase is known to cause conditions such as microscopic polyangiitis, drug toxicity, and hepatitis C.","[[""Telaprevir"", ""increases"", ""adverse_effects""], [""Telaprevir"", ""affects"", ""apolipoprotein_H""], [""Telaprevir"", ""affects"", ""inosine_triphosphatase""], [""Microscopic_polyangiitis"", ""presents_phenotype"", ""peripheral_neuropathy""], [""Microscopic_polyangiitis"", ""presents_phenotype"", ""gangrene""], [""Inosine_triphosphatase"", ""causes"", ""microscopic_polyangiitis""], [""Inosine_triphosphatase"", ""causes"", ""drug_toxicity""], [""Inosine_triphosphatase"", ""causes"", ""hepatitis_C""]]"
236,"The drug mefruside decreases the efficacy of dihydromorphine but increases the efficacy of albiglutide and dulaglutide. Buformin decreases the efficacy of hydrochlorothiazide and mestranol but increases the efficacy of mefruside. Hydrochlorothiazide decreases the efficacy of aceclofenac and benfluorex and affects cell division cycle associated 3. Mestranol decreases the efficacy of troglitazone, mitiglinide, and thyroid. Troglitazone decreases the efficacy of levothyroxine but increases the efficacy of levofloxacin and simeprevir.","[[""mefruside"", ""decreases_efficacy_of"", ""dihydromorphine""], [""mefruside"", ""increases_efficacy_of"", ""albiglutide""], [""mefruside"", ""increases_efficacy_of"", ""dulaglutide""], [""buformin"", ""decreases_efficacy_of"", ""hydrochlorothiazide""], [""buformin"", ""decreases_efficacy_of"", ""mestranol""], [""buformin"", ""increases_efficacy_of"", ""mefruside""], [""hydrochlorothiazide"", ""decreases_efficacy_of"", ""aceclofenac""], [""hydrochlorothiazide"", ""decreases_efficacy_of"", ""benfluorex""], [""hydrochlorothiazide"", ""affects"", ""cell_division_cycle_associated_3""], [""mestranol"", ""decreases_efficacy_of"", ""troglitazone""], [""mestranol"", ""decreases_efficacy_of"", ""mitiglinide""], [""mestranol"", ""decreases_efficacy_of"", ""thyroid""], [""troglitazone"", ""decreases_efficacy_of"", ""levothyroxine""], [""troglitazone"", ""increases_efficacy_of"", ""levofloxacin""], [""troglitazone"", ""increases_efficacy_of"", ""simeprevir""]]","The drug mefruside decreases the efficacy of dihydromorphine, but increases the efficacy of albiglutide and dulaglutide. Buformin decreases the efficacy of hydrochlorothiazide and mestranol, but increases the efficacy of mefruside. Hydrochlorothiazide decreases the efficacy of aceclofenac and benfluorex, and affects cell division cycle associated 3. Mestranol decreases the efficacy of troglitazone, mitiglinide, and thyroid. Troglitazone decreases the efficacy of levothyroxine, but increases the efficacy of levofloxacin and simeprevir.","[[""mefruside"", ""decreases_efficacy_of"", ""dihydromorphine""], [""mefruside"", ""increases_efficacy_of"", ""albiglutide""], [""mefruside"", ""increases_efficacy_of"", ""dulaglutide""], [""buformin"", ""decreases_efficacy_of"", ""hydrochlorothiazide""], [""buformin"", ""decreases_efficacy_of"", ""mestranol""], [""buformin"", ""increases_efficacy_of"", ""mefruside""], [""hydrochlorothiazide"", ""decreases_efficacy_of"", ""aceclofenac""], [""hydrochlorothiazide"", ""decreases_efficacy_of"", ""benfluorex""], [""hydrochlorothiazide"", ""affects"", ""cell_division_cycle_associated_3""], [""mestranol"", ""decreases_efficacy_of"", ""troglitazone""], [""mestranol"", ""decreases_efficacy_of"", ""mitiglinide""], [""mestranol"", ""decreases_efficacy_of"", ""thyroid""], [""troglitazone"", ""decreases_efficacy_of"", ""levothyroxine""], [""troglitazone"", ""increases_efficacy_of"", ""levofloxacin""], [""troglitazone"", ""increases_efficacy_of"", ""simeprevir""]]"
237,"Xylazine increases the activity of the hypertensive activities and decreases the efficacy of levobetaxolol and talinolol. Levobetaxolol, in turn, increases the efficacy of sulfadiazine, sulfamethoxazole, and netoglitazone.","[[""Xylazine"", ""increases"", ""hypertensive_activities""], [""Xylazine"", ""decreases"", ""levobetaxolol""], [""Xylazine"", ""decreases"", ""talinolol""], [""Levobetaxolol"", ""increases"", ""sulfadiazine""], [""Levobetaxolol"", ""increases"", ""sulfamethoxazole""], [""Levobetaxolol"", ""increases"", ""netoglitazone""]]","Xylazine increases the activity of the hypertensive activities. Xylazine decreases the efficacy of levobetaxolol, as well as talinolol. Levobetaxolol, in turn, increases the efficacy of sulfadiazine, sulfamethoxazole, and netoglitazone.","[[""Xylazine"", ""increases"", ""hypertensive_activities""], [""Xylazine"", ""decreases"", ""levobetaxolol""], [""Xylazine"", ""decreases"", ""talinolol""], [""Levobetaxolol"", ""increases"", ""sulfadiazine""], [""Levobetaxolol"", ""increases"", ""sulfamethoxazole""], [""Levobetaxolol"", ""increases"", ""netoglitazone""]]"
238,"
Theobromine increases the activity of the nephrotoxic activities. The drug theobromine decreases the efficacy of both naltrexone and fludiazepam. Aminophylline decreases the efficacy of temazepam and has side effects such as dizziness and hypersensitivity. Additionally, 1,2-benzodiazepine decreases the efficacy of aminophylline, theobromine, and peldesine.","[[""Theobromine"", ""increases"", ""nephrotoxic_activities""], [""Theobromine"", ""decreases"", ""naltrexone""], [""Theobromine"", ""decreases"", ""fludiazepam""], [""Aminophylline"", ""decreases"", ""temazepam""], [""Aminophylline"", ""has_side_effect"", ""dizziness""], [""Aminophylline"", ""has_side_effect"", ""hypersensitivity""], [""1,2-benzodiazepine"", ""decreases"", ""aminophylline""], [""1,2-benzodiazepine"", ""decreases"", ""theobromine""], [""1,2-benzodiazepine"", ""decreases"", ""peldesine""]]","The compound theobromine increases the activity of the nephrotoxic activities and decreases the efficacy of both naltrexone and fludiazepam. Aminophylline decreases the efficacy of temazepam and has side effects such as dizziness and hypersensitivity. 1,2-benzodiazepine decreases the efficacy of aminophylline, theobromine, and peldesine.","[[""Theobromine"", ""increases"", ""nephrotoxic_activities""], [""Theobromine"", ""decreases"", ""naltrexone""], [""Theobromine"", ""decreases"", ""fludiazepam""], [""Aminophylline"", ""decreases"", ""temazepam""], [""Aminophylline"", ""has_side_effect"", ""dizziness""], [""Aminophylline"", ""has_side_effect"", ""hypersensitivity""], [""1,2-benzodiazepine"", ""decreases"", ""aminophylline""], [""1,2-benzodiazepine"", ""decreases"", ""theobromine""], [""1,2-benzodiazepine"", ""decreases"", ""peldesine""]]"
239,"The drug oxycodone increases efficacy in the presence of magnesium sulfate, but decreases efficacy when combined with dantron. Oxycodone is a substance that treats vomiting. Lidoflazine decreases efficacy when combined with sorbitol, dehydrocholic acid, or sodium ascorbate. Alphacetylmethadol decreases efficacy when used with bisoxatin, docusate, or axelopran. Sodium ascorbate decreases efficacy when used with oxitropium and affects glucose-6-phosphate dehydrogenase. Sorbitol decreases efficacy when combined with lercanidipine or camylofin, and targets dna-(apurinic or apyrimidinic site) lyase. Dehydrocholic acid decreases efficacy when combined with clozapine, oxycodone, or alphacetylmethadol.","[[""oxycodone"", ""increases_efficacy_with"", ""magnesium_sulfate""], [""oxycodone"", ""decreases_efficacy_with"", ""dantron""], [""oxycodone"", ""treats"", ""vomiting""], [""lidoflazine"", ""decreases_efficacy_with"", ""sorbitol""], [""lidoflazine"", ""decreases_efficacy_with"", ""dehydrocholic_acid""], [""lidoflazine"", ""decreases_efficacy_with"", ""sodium_ascorbate""], [""alphacetylmethadol"", ""decreases_efficacy_with"", ""bisoxatin""], [""alphacetylmethadol"", ""decreases_efficacy_with"", ""docusate""], [""alphacetylmethadol"", ""decreases_efficacy_with"", ""axelopran""], [""sodium_ascorbate"", ""decreases_efficacy_with"", ""oxitropium""], [""sodium_ascorbate"", ""affects"", ""glucose-6-phosphate_dehydrogenase""], [""sorbitol"", ""decreases_efficacy_with"", ""lercanidipine""], [""sorbitol"", ""decreases_efficacy_with"", ""camylofin""], [""sorbitol"", ""targets"", ""dna-(apurinic_or_apyrimidinic_site)_lyase""], [""dehydrocholic_acid"", ""decreases_efficacy_with"", ""clozapine""], [""dehydrocholic_acid"", ""decreases_efficacy_with"", ""oxycodone""], [""dehydrocholic_acid"", ""decreases_efficacy_with"", ""alphacetylmethadol""]]","Oxycodone increases the efficacy of magnesium sulfate but decreases the efficacy of dantron. It is a substance that treats vomiting. 

Lidoflazine decreases the efficacy of sorbitol, dehydrocholic acid, and sodium ascorbate.

Alphacetylmethadol decreases the efficacy of bisoxatin, docusate, and axelopran.

Sodium ascorbate decreases the efficacy of oxitropium and affects glucose-6-phosphate dehydrogenase.

Sorbitol decreases the efficacy of lercanidipine and camylofin, and it targets DNA-(apurinic or apyrimidinic site) lyase.

Dehydrocholic acid decreases the efficacy of clozapine, oxycodone, and alphacetylmethadol.","[[""oxycodone"", ""increases_efficacy_of"", ""magnesium_sulfate""], [""oxycodone"", ""decreases_efficacy_of"", ""dantron""], [""oxycodone"", ""treats"", ""vomiting""], [""lidoflazine"", ""decreases_efficacy_of"", ""sorbitol""], [""lidoflazine"", ""decreases_efficacy_of"", ""dehydrocholic_acid""], [""lidoflazine"", ""decreases_efficacy_of"", ""sodium_ascorbate""], [""alphacetylmethadol"", ""decreases_efficacy_of"", ""bisoxatin""], [""alphacetylmethadol"", ""decreases_efficacy_of"", ""docusate""], [""alphacetylmethadol"", ""decreases_efficacy_of"", ""axelopran""], [""sodium_ascorbate"", ""decreases_efficacy_of"", ""oxitropium""], [""sodium_ascorbate"", ""affects"", ""glucose-6-phosphate_dehydrogenase""], [""sorbitol"", ""decreases_efficacy_of"", ""lercanidipine""], [""sorbitol"", ""decreases_efficacy_of"", ""camylofin""], [""sorbitol"", ""targets"", ""DNA-(apurinic_or_apyrimidinic_site)_lyase""], [""dehydrocholic_acid"", ""decreases_efficacy_of"", ""clozapine""], [""dehydrocholic_acid"", ""decreases_efficacy_of"", ""oxycodone""], [""dehydrocholic_acid"", ""decreases_efficacy_of"", ""alphacetylmethadol""]]"
240,"Benorilate is known to decrease the efficacy of diazoxide, nicorandil, and latanoprostene bunod. 
Hydrochlorothiazide can increase the efficacy of ramiprilat while decreasing the efficacy of tirzepatide. 
Additionally, hydrochlorothiazide targets solute carrier family 22 member 1. 
Guanoclor can both increase the efficacy of hydrochlorothiazide and decrease the efficacy of magnesium salicylate and benorilate.","[[""Benorilate"", ""decreases_efficacy_of"", ""Diazoxide""], [""Benorilate"", ""decreases_efficacy_of"", ""Nicorandil""], [""Benorilate"", ""decreases_efficacy_of"", ""Latanoprostene_Bunod""], [""Hydrochlorothiazide"", ""increases_efficacy_of"", ""Ramiprilat""], [""Hydrochlorothiazide"", ""decreases_efficacy_of"", ""Tirzepatide""], [""Hydrochlorothiazide"", ""targets"", ""Solute_Carrier_Family_22_Member_1""], [""Guanoclor"", ""increases_efficacy_of"", ""Hydrochlorothiazide""], [""Guanoclor"", ""decreases_efficacy_of"", ""Magnesium_Salicylate""], [""Guanoclor"", ""decreases_efficacy_of"", ""Benorilate""]]","The drug benorilate decreases the efficacy of diazoxide, nicorandil, and latanoprostene bunod. Hydrochlorothiazide increases the efficacy of ramiprilat and has a target in solute carrier family 22 member 1, but decreases the efficacy of tirzepatide. Guanoclor increases the efficacy of hydrochlorothiazide, but decreases the efficacy of magnesium salicylate and benorilate.","[[""Benorilate"", ""decreases_efficacy_of"", ""Diazoxide""], [""Benorilate"", ""decreases_efficacy_of"", ""Nicorandil""], [""Benorilate"", ""decreases_efficacy_of"", ""Latanoprostene_Bunod""], [""Hydrochlorothiazide"", ""increases_efficacy_of"", ""Ramiprilat""], [""Hydrochlorothiazide"", ""decreases_efficacy_of"", ""Tirzepatide""], [""Hydrochlorothiazide"", ""targets"", ""Solute_Carrier_Family_22_Member_1""], [""Guanoclor"", ""increases_efficacy_of"", ""Hydrochlorothiazide""], [""Guanoclor"", ""decreases_efficacy_of"", ""Magnesium_Salicylate""], [""Guanoclor"", ""decreases_efficacy_of"", ""Benorilate""]]"
